Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
33700.00,37661.52,1935.13,43.94,1.11,73.80,24.27,85.56,4415.00,4786.44,0.24,15.22,1410.87,16898.30,34.35,2.72
33650.00,37518.62,1943.01,43.96,1.10,75.32,24.21,85.38,4415.00,4773.45,0.24,15.19,1415.06,16859.50,34.56,2.72
33700.00,37405.90,1934.81,43.92,1.10,73.56,24.23,84.78,4415.00,4758.86,0.24,15.15,1409.00,16770.40,34.61,2.72
33550.00,37349.27,1932.66,44.15,1.10,73.91,24.40,83.91,4415.00,4753.92,0.24,15.05,1407.39,16724.90,34.80,2.76
33600.00,37264.53,1915.79,44.21,1.09,73.81,24.13,84.09,4415.00,4724.29,0.24,14.75,1394.91,16534.70,34.99,2.80
33550.00,37520.13,1923.30,44.36,1.10,74.06,24.05,84.84,4415.00,4764.73,0.24,13.86,1398.01,16798.40,34.84,2.77
29700.00,37311.82,1917.71,44.22,1.09,72.48,23.80,85.17,4415.00,4743.72,0.24,13.10,1395.26,16656.80,34.98,2.83
29900.00,37323.65,1903.88,44.24,1.09,71.68,23.85,85.01,4390.00,4725.58,0.25,12.30,1387.33,16609.80,34.89,2.84
29750.00,37194.50,1900.63,44.53,1.10,71.61,24.17,84.35,4390.00,4714.23,0.25,10.13,1384.87,16723.90,34.88,2.86
33450.00,37115.63,1879.76,44.54,1.09,69.85,23.77,85.28,4390.00,4721.04,0.25,9.71,1370.16,16560.70,35.34,2.85
33350.00,36580.03,1877.01,44.85,1.08,68.73,22.77,86.86,4390.00,4646.20,0.25,9.13,1369.88,16285.90,35.70,2.98
33500.00,36442.10,1894.51,44.87,1.08,71.43,22.82,86.93,4390.00,4618.30,0.24,9.32,1383.31,16274.40,35.75,3.03
33700.00,36124.17,1891.25,44.16,1.08,69.28,23.90,84.74,4390.00,4568.84,0.24,9.36,1384.06,16092.40,35.16,3.00
33450.00,36183.73,1894.83,44.37,1.08,72.10,24.15,83.49,4390.00,4586.23,0.24,9.36,1383.14,16123.00,35.24,3.09
33400.00,36039.24,1883.33,44.35,1.08,74.58,25.45,82.90,4390.00,4557.25,0.24,9.29,1376.72,16232.80,35.25,3.03
33700.00,35914.45,1891.07,44.59,1.09,75.59,25.27,82.40,4390.00,4564.37,0.24,9.41,1382.25,16263.80,34.91,3.03
33600.00,35596.57,1903.87,44.22,1.09,77.75,25.03,80.44,4490.00,4559.43,0.24,9.51,1389.25,16088.80,35.29,2.99
34200.00,35436.80,1925.45,44.11,1.10,76.56,25.04,81.89,4490.00,4554.87,0.24,9.60,1404.89,15963.00,34.83,3.00
33900.00,35332.13,1916.97,44.30,1.10,75.07,24.65,81.52,4490.00,4571.84,0.24,9.50,1398.57,15929.20,34.77,2.98
33650.00,35376.44,1904.00,44.49,1.10,75.31,24.30,81.71,4490.00,4545.55,0.24,9.38,1393.02,15930.90,35.07,3.00
