Date_Y,Y,Date_Copper,Copper,Date_Rhodium,Rhodium,Date_SP,SP,Date_DJI_Date,DJI_Date,Date_Set,Set,Date_GBP_THB,GBP_THB,Date_USD_THB,USD_THB,Date_EURUSD,EURUSD,Oil_Date,Oil,Date_USATen,USATen
28-12-2023,33700,29-12-2023,3.91,29-12-2023,4415,29-12-2023,4782.88,29-12-2023,37701.63,28-12-2023,1935.13,29-12-2023,43.63,29-12-2023,34.27,29-12-2023,1.1061,29-12-2023,71.99,29-12-2023,3.844
27-12-2023,33650,28-12-2023,3.96,28-12-2023,4415,28-12-2023,4786.44,28-12-2023,37661.52,27-12-2023,1943.01,28-12-2023,43.94,28-12-2023,34.35,28-12-2023,1.1107,28-12-2023,73.8,28-12-2023,3.8
26-12-2023,33700,27-12-2023,3.9,27-12-2023,4415,27-12-2023,4773.45,27-12-2023,37518.62,26-12-2023,1934.81,27-12-2023,43.96,27-12-2023,34.56,27-12-2023,1.1043,27-12-2023,75.32,27-12-2023,3.9
25-12-2023,33600,26-12-2023,3.91,22-12-2023,4415,26-12-2023,4758.86,26-12-2023,37405.9,25-12-2023,1929.47,26-12-2023,43.92,26-12-2023,34.61,26-12-2023,1.101,26-12-2023,73.56,26-12-2023,3.901
22-12-2023,33550,25-12-2023,3.9,21-12-2023,4415,22-12-2023,4753.92,22-12-2023,37349.27,22-12-2023,1932.66,25-12-2023,43.95,25-12-2023,34.6,25-12-2023,1.1017,25-12-2023,73.49,25-12-2023,3.905
21-12-2023,33600,22-12-2023,3.93,20-12-2023,4415,21-12-2023,4724.29,21-12-2023,37264.53,21-12-2023,1915.79,22-12-2023,44.15,22-12-2023,34.8,22-12-2023,1.101,22-12-2023,73.91,22-12-2023,3.888
20-12-2023,33550,21-12-2023,3.88,19-12-2023,4415,20-12-2023,4764.73,20-12-2023,37520.13,20-12-2023,1923.3,21-12-2023,44.21,21-12-2023,34.99,21-12-2023,1.0941,21-12-2023,73.81,21-12-2023,3.864
13-01-2023,29700,20-12-2023,3.91,18-12-2023,4415,19-12-2023,4743.72,19-12-2023,37311.82,19-12-2023,1917.71,20-12-2023,44.36,20-12-2023,34.84,20-12-2023,1.098,20-12-2023,74.06,20-12-2023,3.924
16-01-2023,29750,19-12-2023,3.85,15-12-2023,4390,18-12-2023,4725.58,18-12-2023,37323.65,18-12-2023,1903.88,19-12-2023,44.22,19-12-2023,34.98,19-12-2023,1.0924,19-12-2023,72.48,19-12-2023,3.93
17-01-2023,29900,18-12-2023,3.88,14-12-2023,4390,15-12-2023,4714.23,15-12-2023,37194.5,15-12-2023,1900.63,18-12-2023,44.24,18-12-2023,34.89,18-12-2023,1.0903,18-12-2023,71.68,18-12-2023,3.931
18-01-2023,29750,15-12-2023,3.87,13-12-2023,4390,14-12-2023,4721.04,14-12-2023,37115.63,14-12-2023,1879.76,15-12-2023,44.53,15-12-2023,34.88,15-12-2023,1.0994,15-12-2023,71.61,15-12-2023,3.93
19-12-2023,33450,14-12-2023,3.84,12-12-2023,4390,13-12-2023,4646.2,13-12-2023,36580.03,13-12-2023,1877.01,14-12-2023,44.54,14-12-2023,35.34,14-12-2023,1.0874,14-12-2023,69.85,14-12-2023,4.016
18-12-2023,33350,13-12-2023,3.79,12-11-2023,4390,12-12-2023,4618.3,12-12-2023,36442.1,12-12-2023,1894.51,13-12-2023,44.85,13-12-2023,35.7,13-12-2023,1.0793,13-12-2023,68.73,13-12-2023,4.202
15-12-2023,33500,12-12-2023,3.79,12-08-2023,4390,12-11-2023,4593.39,12-11-2023,36274.85,12-08-2023,1890.08,12-12-2023,44.87,12-12-2023,35.75,12-12-2023,1.0762,12-12-2023,71.43,12-12-2023,4.239
14-12-2023,33700,12-11-2023,3.83,12-07-2023,4390,12-08-2023,4576.2,12-08-2023,36084.82,12-07-2023,1891.25,12-11-2023,44.57,11-12-2023,35.54,11-12-2023,1.0762,12-11-2023,71.15,11-12-2023,4.241
13-12-2023,33450,12-08-2023,3.8,12-06-2023,4390,12-07-2023,4568.84,12-07-2023,36124.17,12-06-2023,1894.83,12-08-2023,44.23,08-12-2023,35.14,08-12-2023,1.0794,12-08-2023,69.76,08-12-2023,4.153
12-12-2023,33400,12-07-2023,3.73,12-05-2023,4390,12-06-2023,4586.23,12-06-2023,36183.73,12-04-2023,1883.33,12-07-2023,44.16,07-12-2023,35.16,07-12-2023,1.0769,12-07-2023,69.28,07-12-2023,4.11
12-11-2023,33700,12-06-2023,3.79,12-04-2023,4390,12-05-2023,4557.25,12-05-2023,36097.44,12-01-2023,1891.07,12-06-2023,44.37,06-12-2023,35.24,06-12-2023,1.0793,12-06-2023,72.1,06-12-2023,4.173
12-09-2023,33650,12-05-2023,3.83,12-01-2023,4390,12-04-2023,4564.37,12-04-2023,36039.24,30-11-2023,1903.87,12-05-2023,44.53,05-12-2023,35.25,05-12-2023,1.0836,12-05-2023,73.3,05-12-2023,4.255
12-08-2023,33750,12-04-2023,3.92,30-11-2023,4490,12-01-2023,4559.43,12-01-2023,35914.45,29-11-2023,1925.45,12-04-2023,44.35,04-12-2023,34.91,04-12-2023,1.0887,12-04-2023,74.58,04-12-2023,4.22
12-07-2023,33700,12-01-2023,3.86,29-11-2023,4490,30-11-2023,4554.87,30-11-2023,35596.57,28-11-2023,1916.97,12-01-2023,44.59,01-12-2023,35.29,01-12-2023,1.0887,12-01-2023,75.59,01-12-2023,4.321
12-06-2023,33600,30-11-2023,3.84,28-11-2023,4490,29-11-2023,4571.84,29-11-2023,35436.8,27-11-2023,1904,30-11-2023,44.22,30-11-2023,34.83,30-11-2023,1.0971,30-11-2023,77.75,30-11-2023,4.267
12-05-2023,33900,29-11-2023,3.85,27-11-2023,4490,28-11-2023,4545.55,28-11-2023,35332.13,24-11-2023,1924.1,29-11-2023,44.11,29-11-2023,34.77,29-11-2023,1.0992,29-11-2023,76.56,29-11-2023,4.319
12-04-2023,34200,28-11-2023,3.79,24-11-2023,4390,27-11-2023,4554.86,27-11-2023,35376.44,23-11-2023,1937.49,28-11-2023,44.3,28-11-2023,35.07,28-11-2023,1.0954,28-11-2023,75.07,28-11-2023,4.402
12-01-2023,33900,27-11-2023,3.82,23-11-2023,4340,24-11-2023,4555.84,24-11-2023,35299.9,22-11-2023,1947.54,27-11-2023,44.49,27-11-2023,35.4,27-11-2023,1.0937,27-11-2023,75.31,27-11-2023,4.492
30-11-2023,33650,24-11-2023,3.82,22-11-2023,4340,22-11-2023,4553.04,22-11-2023,35189.33,21-11-2023,1957.26,24-11-2023,44.2,24-11-2023,35.25,24-11-2023,1.0905,24-11-2023,76.79,24-11-2023,4.451
29-11-2023,33450,23-11-2023,3.76,21-11-2023,4340,21-11-2023,4538.77,21-11-2023,35113.5,20-11-2023,1938.07,23-11-2023,44.03,23-11-2023,35.25,23-11-2023,1.0888,23-11-2023,76.69,23-11-2023,4.405
28-11-2023,33250,22-11-2023,3.82,20-11-2023,4390,20-11-2023,4511.7,20-11-2023,34928.27,17-11-2023,1929.48,22-11-2023,44.11,22-11-2023,35.18,22-11-2023,1.0911,22-11-2023,77.77,22-11-2023,4.394
27-11-2023,33450,21-11-2023,3.83,17-11-2023,4490,17-11-2023,4509.55,17-11-2023,35018.83,16-11-2023,1939.69,21-11-2023,44.03,21-11-2023,35.21,21-11-2023,1.094,21-11-2023,77.65,21-11-2023,4.414
24-11-2023,33250,20-11-2023,3.76,16-11-2023,4390,16-11-2023,4497.08,16-11-2023,34877.25,15-11-2023,1924.73,20-11-2023,43.77,20-11-2023,35.11,20-11-2023,1.0913,20-11-2023,75.65,20-11-2023,4.461
23-11-2023,33150,17-11-2023,3.69,15-11-2023,4340,15-11-2023,4505.3,15-11-2023,34896.86,14-11-2023,1907.69,17-11-2023,43.72,17-11-2023,35.21,17-11-2023,1.0848,17-11-2023,72.97,17-11-2023,4.439
22-11-2023,33200,16-11-2023,3.71,14-11-2023,4290,14-11-2023,4458.97,14-11-2023,34662.83,13-11-2023,1905.94,16-11-2023,44.19,16-11-2023,35.59,16-11-2023,1.0847,16-11-2023,76.6,16-11-2023,4.523
21-11-2023,32950,15-11-2023,3.68,13-11-2023,4340,13-11-2023,4406.66,13-11-2023,34243.14,11-10-2023,1907.78,15-11-2023,44.39,15-11-2023,35.53,15-11-2023,1.0879,15-11-2023,78.17,15-11-2023,4.445
20-11-2023,32850,14-11-2023,3.67,11-10-2023,4490,11-10-2023,4364.15,11-10-2023,34048.02,11-09-2023,1932.18,14-11-2023,44.18,14-11-2023,35.98,14-11-2023,1.0698,14-11-2023,78.53,14-11-2023,4.644
