Date_Y,Y,Date_DJI,DJI,Date_Set,Set,Date_GBP_THB,GBP_THB,Date_EURUSD,EURUSD,Date_Oil,Oil,Date_USATen,USATen,Date_XAG,XAG
28-12-2023,33700,29-12-2023,37701.63,28-12-2023,1935.13,29-12-2023,43.63,29-12-2023,1.1061,29-12-2023,71.99,29-12-2023,3.844,29-12-2023,23.97
27-12-2023,33650,28-12-2023,37661.52,27-12-2023,1943.01,28-12-2023,43.94,28-12-2023,1.1107,28-12-2023,73.8,28-12-2023,3.8,28-12-2023,24.265
26-12-2023,33700,27-12-2023,37518.62,26-12-2023,1934.81,27-12-2023,43.96,27-12-2023,1.1043,27-12-2023,75.32,27-12-2023,3.9,27-12-2023,24.21
25-12-2023,33600,26-12-2023,37405.9,25-12-2023,1929.47,26-12-2023,43.92,26-12-2023,1.101,26-12-2023,73.56,26-12-2023,3.901,26-12-2023,24.2311
22-12-2023,33550,22-12-2023,37349.27,22-12-2023,1932.66,25-12-2023,43.95,25-12-2023,1.1017,25-12-2023,73.49,25-12-2023,3.905,25-12-2023,24.2015
21-12-2023,33600,21-12-2023,37264.53,21-12-2023,1915.79,22-12-2023,44.15,22-12-2023,1.101,22-12-2023,73.91,22-12-2023,3.888,22-12-2023,24.4035
20-12-2023,33550,20-12-2023,37520.13,20-12-2023,1923.3,21-12-2023,44.21,21-12-2023,1.0941,21-12-2023,73.81,21-12-2023,3.864,21-12-2023,24.1331
13-01-2023,29700,19-12-2023,37311.82,19-12-2023,1917.71,20-12-2023,44.36,20-12-2023,1.098,20-12-2023,74.06,20-12-2023,3.924,20-12-2023,24.0498
16-01-2023,29750,18-12-2023,37323.65,18-12-2023,1903.88,19-12-2023,44.22,19-12-2023,1.0924,19-12-2023,72.48,19-12-2023,3.93,19-12-2023,23.8023
17-01-2023,29900,15-12-2023,37194.5,15-12-2023,1900.63,18-12-2023,44.24,18-12-2023,1.0903,18-12-2023,71.68,18-12-2023,3.931,18-12-2023,23.8465
18-01-2023,29750,14-12-2023,37115.63,14-12-2023,1879.76,15-12-2023,44.53,15-12-2023,1.0994,15-12-2023,71.61,15-12-2023,3.93,15-12-2023,24.165
19-12-2023,33450,13-12-2023,36580.03,13-12-2023,1877.01,14-12-2023,44.54,14-12-2023,1.0874,14-12-2023,69.85,14-12-2023,4.016,14-12-2023,23.77
18-12-2023,33350,12-12-2023,36442.1,12-12-2023,1894.51,13-12-2023,44.85,13-12-2023,1.0793,13-12-2023,68.73,13-12-2023,4.202,13-12-2023,22.765
15-12-2023,33500,11-12-2023,36274.85,08-12-2023,1890.08,12-12-2023,44.87,12-12-2023,1.0762,12-12-2023,71.43,12-12-2023,4.239,12-12-2023,22.8181
14-12-2023,33700,08-12-2023,36084.82,07-12-2023,1891.25,11-12-2023,44.57,12-11-2023,1.0762,11-12-2023,71.15,12-11-2023,4.241,11-12-2023,23.045
13-12-2023,33450,07-12-2023,36124.17,06-12-2023,1894.83,08-12-2023,44.23,12-08-2023,1.0794,08-12-2023,69.76,12-08-2023,4.153,08-12-2023,23.8085
12-12-2023,33400,06-12-2023,36183.73,04-12-2023,1883.33,07-12-2023,44.16,12-07-2023,1.0769,07-12-2023,69.28,12-07-2023,4.11,07-12-2023,23.8994
11-12-2023,33700,05-12-2023,36097.44,01-12-2023,1891.07,06-12-2023,44.37,12-06-2023,1.0793,06-12-2023,72.1,12-06-2023,4.173,06-12-2023,24.1492
09-12-2023,33650,04-12-2023,36039.24,30-11-2023,1903.87,05-12-2023,44.53,12-05-2023,1.0836,05-12-2023,73.3,12-05-2023,4.255,05-12-2023,24.52
08-12-2023,33750,01-12-2023,35914.45,29-11-2023,1925.45,04-12-2023,44.35,12-04-2023,1.0887,04-12-2023,74.58,12-04-2023,4.22,04-12-2023,25.445
07-12-2023,33700,30-11-2023,35596.57,28-11-2023,1916.97,01-12-2023,44.59,12-01-2023,1.0887,01-12-2023,75.59,12-01-2023,4.321,01-12-2023,25.27
06-12-2023,33600,29-11-2023,35436.8,27-11-2023,1904,30-11-2023,44.22,30-11-2023,1.0971,30-11-2023,77.75,30-11-2023,4.267,30-11-2023,25.027
05-12-2023,33900,28-11-2023,35332.13,24-11-2023,1924.1,29-11-2023,44.11,29-11-2023,1.0992,29-11-2023,76.56,29-11-2023,4.319,29-11-2023,25.04
04-12-2023,34200,27-11-2023,35376.44,23-11-2023,1937.49,28-11-2023,44.3,28-11-2023,1.0954,28-11-2023,75.07,28-11-2023,4.402,28-11-2023,24.645
01-12-2023,33900,24-11-2023,35299.9,22-11-2023,1947.54,27-11-2023,44.49,27-11-2023,1.0937,27-11-2023,75.31,27-11-2023,4.492,27-11-2023,24.2958
30-11-2023,33650,22-11-2023,35189.33,21-11-2023,1957.26,24-11-2023,44.2,24-11-2023,1.0905,24-11-2023,76.79,24-11-2023,4.451,24-11-2023,23.6965
