Date_Y,Y,Date_DJI,DJI,Date_Set,Set,Date_GBP_THB,GBP_THB,Date_EURUSD,EURUSD,Date_Oil,Oil,Date_USATen,USATen,Date_XAG,XAG,Date_XAU_XAG,XAU_XAG
12/28/2023,33700,12/28/2023,37661.52,12/28/2023,1935.13,12/28/2023,43.94,12/28/2023,1.1107,12/28/2023,73.8,12/28/2023,3.8,12/28/2023,24.265,12/28/2023,85.56
12/27/2023,33650,12/27/2023,37518.62,12/27/2023,1943.01,12/27/2023,43.96,12/27/2023,1.1043,12/27/2023,75.32,12/27/2023,3.9,12/27/2023,24.21,12/27/2023,85.38
12/26/2023,33700,12/26/2023,37405.9,12/26/2023,1934.81,12/26/2023,43.92,12/26/2023,1.101,12/26/2023,73.56,12/26/2023,3.901,12/26/2023,24.2311,12/26/2023,84.78
12/22/2023,33550,12/22/2023,37349.27,12/22/2023,1932.66,12/22/2023,44.15,12/22/2023,1.101,12/22/2023,73.91,12/22/2023,3.888,12/22/2023,24.4035,12/22/2023,83.91
12/21/2023,33600,12/21/2023,37264.53,12/21/2023,1915.79,12/21/2023,44.21,12/21/2023,1.0941,12/21/2023,73.81,12/21/2023,3.864,12/21/2023,24.1331,12/21/2023,84.09
12/20/2023,33550,12/20/2023,37520.13,12/20/2023,1923.3,12/20/2023,44.36,12/20/2023,1.098,12/20/2023,74.06,12/20/2023,3.924,12/20/2023,24.0498,12/20/2023,84.84
1/13/2023,29700,12/19/2023,37311.82,12/19/2023,1917.71,12/19/2023,44.22,12/19/2023,1.0924,12/19/2023,72.48,12/19/2023,3.93,12/19/2023,23.8023,12/19/2023,85.17
1/17/2023,29900,12/18/2023,37323.65,12/18/2023,1903.88,12/18/2023,44.24,12/18/2023,1.0903,12/18/2023,71.68,12/18/2023,3.931,12/18/2023,23.8465,12/18/2023,85.01
1/18/2023,29750,12/15/2023,37194.5,12/15/2023,1900.63,12/15/2023,44.53,12/15/2023,1.0994,12/15/2023,71.61,12/15/2023,3.93,12/15/2023,24.165,12/15/2023,84.35
12/19/2023,33450,12/14/2023,37115.63,12/14/2023,1879.76,12/14/2023,44.54,12/14/2023,1.0874,12/14/2023,69.85,12/14/2023,4.016,12/14/2023,23.77,12/14/2023,85.28
