Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,Copper,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
33700,37661.52,1935.13,43.94,1.1107,73.8,24.265,85.56,"4,415.00",3.956,"4,786.44",0.2424,15.22,"1,410.87","16,898.30",34.35,2.72
33650,37518.62,1943.01,43.96,1.1043,75.32,24.21,85.38,"4,415.00",3.902,"4,773.45",0.242,15.19,"1,415.06","16,859.50",34.56,2.72
33700,37405.9,1934.81,43.92,1.101,73.56,24.2311,84.78,"4,415.00",3.905,"4,758.86",0.243,15.15,"1,409.00","16,770.40",34.61,2.72
33550,37349.27,1932.66,44.15,1.101,73.91,24.4035,83.91,"4,415.00",3.925,"4,753.92",0.2444,15.05,"1,407.39","16,724.90",34.8,2.76
33600,37264.53,1915.79,44.21,1.0941,73.81,24.1331,84.09,"4,415.00",3.8845,"4,724.29",0.2438,14.75,"1,394.91","16,534.70",34.99,2.8
33550,37520.13,1923.3,44.36,1.098,74.06,24.0498,84.84,"4,415.00",3.9075,"4,764.73",0.2422,13.86,"1,398.01","16,798.40",34.84,2.77
29700,37311.82,1917.71,44.22,1.0924,72.48,23.8023,85.17,"4,415.00",3.848,"4,743.72",0.2449,13.1,"1,395.26","16,656.80",34.98,2.83
29900,37323.65,1903.88,44.24,1.0903,71.68,23.8465,85.01,"4,390.00",3.883,"4,725.58",0.2452,12.3,"1,387.33","16,609.80",34.89,2.84
29750,37194.5,1900.63,44.53,1.0994,71.61,24.165,84.35,"4,390.00",3.874,"4,714.23",0.2451,10.13,"1,384.87","16,723.90",34.88,2.855
33450,37115.63,1879.76,44.54,1.0874,69.85,23.77,85.28,"4,390.00",3.835,"4,721.04",0.246,9.71,"1,370.16","16,560.70",35.34,2.85
33350,36580.03,1877.01,44.85,1.0793,68.73,22.765,86.86,"4,390.00",3.7925,"4,646.20",0.2457,9.13,"1,369.88","16,285.90",35.7,2.98
33500,36442.1,1894.51,44.87,1.0762,71.43,22.8181,86.93,"4,390.00",3.785,"4,618.30",0.2444,9.32,"1,383.31","16,274.40",35.75,3.03
33700,36124.17,1891.25,44.16,1.0769,69.28,23.8994,84.74,"4,390.00",3.7315,"4,568.84",0.2393,9.36,"1,384.06","16,092.40",35.16,3
33450,36183.73,1894.83,44.37,1.0793,72.1,24.1492,83.49,"4,390.00",3.786,"4,586.23",0.2396,9.36,"1,383.14","16,123.00",35.24,3.09
