Y,Copper,Rhodium,SP,US_Five,US_Ten,DJI,Set,GBP_THB,JPY_THB,USD_THB,BVN ,EUR_USD,XAG_USD,THB_Five,THB_Ten,NYSE,SET,Oil
33700,3.91,4415,4782.88,3.84,3.84,37701.63,1935.13,43.63,0.24,34.27,15.04,1.1061,23.97,2.7,2.72,16890.6,1410.87,71.99
33650,3.96,4415,4786.44,3.8,3.8,37661.52,1943.01,43.94,0.24,34.35,15.22,1.1107,24.265,2.81,2.72,16898.3,1415.06,73.8
33700,3.9,4415,4773.45,3.9,3.9,37518.62,1934.81,43.96,0.24,34.56,15.19,1.1043,24.21,2.81,2.72,16859.5,1409,75.32
33600,3.91,4415,4758.86,3.88,3.9,37405.9,1929.47,43.92,0.24,34.61,15.15,1.101,24.2311,2.45,2.73,16770.4,1404.56,73.56
33550,3.9,4415,4753.92,3.88,3.91,37349.27,1932.66,43.95,0.24,34.6,15.05,1.1017,24.2015,2.45,2.76,16724.9,1407.39,73.49
33550,3.93,4415,4724.29,3.87,3.89,37264.53,1915.79,44.15,0.24,34.8,14.75,1.101,24.4035,2.43,2.8,16534.7,1394.91,73.91
33600,3.88,4415,4764.73,3.86,3.86,37520.13,1923.3,44.21,0.24,34.99,13.86,1.0941,24.1331,2.43,2.77,16798.4,1398.01,73.81
33550,3.91,4415,4743.72,3.93,3.92,37311.82,1917.71,44.36,0.24,34.84,13.1,1.098,24.0498,2.43,2.83,16656.8,1395.26,74.06
29700,3.85,4390,4725.58,3.93,3.93,37323.65,1903.88,44.22,0.24,34.98,12.3,1.0924,23.8023,2.43,2.84,16609.8,1387.33,72.48
29750,3.88,4390,4714.23,3.92,3.93,37194.5,1900.63,44.24,0.24,34.89,10.13,1.0903,23.8465,2.4,2.855,16723.9,1384.87,71.68
29750,3.87,4390,4721.04,3.91,3.93,37115.63,1879.76,44.53,0.24,34.88,9.71,1.0994,24.165,2.4,2.865,16560.7,1370.16,71.61
29900,3.84,4390,4646.2,3.97,4.02,36580.03,1877.01,44.54,0.25,35.34,9.13,1.0874,23.77,2.4,2.85,16285.9,1369.88,69.85
29750,3.79,4390,4618.3,4.22,4.2,36442.1,1894.51,44.85,0.25,35.7,9.32,1.0793,22.765,2.42,2.98,16274.4,1383.31,68.73
33450,3.79,4390,4593.39,4.25,4.24,36274.85,1890.08,44.87,0.25,35.75,9.35,1.0762,22.8181,2.38,3.03,16207.8,1381.8,71.43
33350,3.83,4390,4576.2,4.25,4.24,36084.82,1891.25,44.57,0.25,35.54,9.18,1.0762,23.045,2.36,3,16136.8,1384.06,71.15
33300,3.8,4390,4568.84,4.13,4.15,36124.17,1894.83,44.23,0.25,35.14,9.36,1.0794,23.8085,2.34,3.09,16092.4,1383.14,69.76
33500,3.73,4390,4586.23,4.11,4.11,36183.73,1883.33,44.16,0.24,35.16,9.36,1.0769,23.8994,2.33,3.03,16123,1376.72,69.28
33700,3.79,4390,4557.25,4.14,4.17,36097.44,1891.07,44.37,0.24,35.24,9.29,1.0793,24.1492,2.34,3.03,16232.8,1382.25,72.1
33450,3.83,4390,4564.37,4.21,4.26,36039.24,1903.87,44.53,0.24,35.25,9.41,1.0836,24.52,2.37,3.02,16263.8,1389.25,73.3
33400,3.92,4490,4559.43,4.16,4.22,35914.45,1925.45,44.35,0.24,34.91,9.51,1.0887,25.445,2.35,2.99,16088.8,1404.89,74.58
33700,3.86,4490,4554.87,4.26,4.32,35596.57,1916.97,44.59,0.24,35.29,9.6,1.0887,25.27,2.29,3,15963,1398.57,75.59
33650,3.84,4490,4571.84,4.22,4.27,35436.8,1904,44.22,0.24,34.83,9.5,1.0971,25.027,2.22,2.98,15929.2,1393.02,77.75
33750,3.85,4490,4545.55,4.27,4.32,35332.13,1924.1,44.11,0.24,34.77,9.38,1.0992,25.04,2.23,3,15930.9,1407.39,76.56
33700,3.79,4390,4554.86,4.4,4.4,35376.44,1937.49,44.3,0.24,35.07,9.29,1.0954,24.645,2.26,3.12,15983.8,1414.93,75.07
33600,3.82,4340,4555.84,4.51,4.49,35299.9,1947.54,44.49,0.24,35.4,9.2,1.0937,24.2958,2.25,3.04,15907.9,1422.02,75.31
33900,3.82,4340,4553.04,4.48,4.45,35189.33,1957.26,44.2,0.24,35.25,9.09,1.0905,23.6965,2.22,3.14,15861.6,1427.04,76.79
34200,3.76,4340,4538.77,4.47,4.41,35113.5,1938.07,44.03,0.24,35.25,8.91,1.0888,23.645,2.23,3.07,15881.6,1415.68,76.69
34000,3.82,4390,4511.7,4.4,4.39,34928.27,1929.48,44.11,0.24,35.18,8.71,1.0911,23.745,2.24,3.11,15813.5,1408.04,77.77
33900,3.83,4490,4509.55,4.44,4.41,35018.83,1939.69,44.03,0.24,35.21,8.88,1.094,23.4336,2.18,3.13,15716.5,1413.05,77.65
33650,3.76,4390,4497.08,4.46,4.46,34877.25,1924.73,43.77,0.24,35.11,8.67,1.0913,23.755,2.19,3.16,15765,1401.48,75.65
33450,3.69,4340,4505.3,4.42,4.44,34896.86,1907.69,43.72,0.24,35.21,8.7,1.0848,23.7211,2.18,3.19,15732.7,1390.37,72.97
33250,3.71,4290,4458.97,4.51,4.52,34662.83,1905.94,44.19,0.24,35.59,8.59,1.0847,23.4347,2.17,3.205,15403.1,1391.47,76.6
33450,3.68,4340,4406.66,4.44,4.45,34243.14,1907.78,44.39,0.24,35.53,8.87,1.0879,23.0858,2.15,3.27,15388.4,1392.68,78.17
33350,3.67,4490,4364.15,4.67,4.64,34048.02,1932.18,44.18,0.24,35.98,8.62,1.0698,22.325,2.135,3.25,15235.2,1410.83,78.53
33250,3.6,4540,4391.41,4.68,4.65,34163.71,1933.72,43.97,0.24,35.97,8.53,1.0684,22.235,2.11,3.235,15352.2,1410.07,77.15
33150,3.63,4540,4384.37,4.65,4.64,34192.84,1936.01,43.73,0.23,35.74,8.48,1.0668,22.6313,2.07,3.295,15388.5,1413.64,75.59
33200,3.64,4290,4366.21,4.51,4.48,34069.56,1959.21,43.65,0.23,35.53,8.47,1.0707,22.5421,1.97,3.33,15440.5,1428.15,75.65
32950,3.69,4140,4364.27,4.54,4.58,34085.31,1936.17,43.74,0.23,35.58,8.44,1.0699,22.6118,1.93,3.37,15475.2,1410.98,77.12
32850,3.71,4090,4334.23,4.59,4.64,33979.89,1911.74,43.86,0.24,35.52,8.31,1.0717,23.0313,1.96,3.29,15332.6,1391.97,80.93
32900,3.68,4190,4268.26,4.52,4.59,33468.04,1894.35,43.88,0.24,35.51,8.18,1.0729,23.225,2.07,3.38,15002.5,1380.89,81.13
32950,3.69,4240,4201.27,4.64,4.66,33081.87,1916.14,43.89,0.24,35.99,8.19,1.0623,22.775,2.13,3.35,14919.2,1395.6,82.58
33000,3.66,4440,4171.33,4.63,4.72,33029.11,1894.69,43.96,0.24,36.19,8.13,1.0569,22.9395,2.17,3.38,14825.9,1381.57,80.82
32950,3.65,4440,4139.39,4.85,4.93,32651.69,1875.57,43.9,0.24,36.12,8.48,1.0574,22.9601,2.19,3.32,14675.8,1369.02,81.48
33100,3.66,4440,4152.93,4.82,4.89,32772.91,1908.21,43.69,0.24,35.9,8.44,1.0616,23.2867,2.19,3.27,14858.7,1394.5,82.59
32950,3.64,4290,4175.99,4.8,4.88,33013.92,1920.99,43.77,0.24,36.16,8.61,1.0566,23.1162,2.19,3.28,14914.1,1401.25,85
33000,3.59,4290,4232.42,4.8,4.85,33203.53,1913.31,44.03,0.24,36.28,8.68,1.0558,22.7605,2.18,3.35,15025.8,1395.92,83.53
33050,3.59,4740,4235.79,4.9,4.95,33089.64,1945.06,43.89,0.24,36.23,8.51,1.057,22.8449,2.17,3.33,14946,1420.24,85.37
32700,3.63,5340,4210.4,4.81,4.82,32995.76,1951.44,44.02,0.24,36.2,8.5,1.0591,22.9132,2.02,3.36,15033.3,1425.07,83.69
33000,3.58,5490,4273.85,4.81,4.86,33360.52,1958.58,44.46,0.24,36.31,8.43,1.0669,22.9582,2.02,3.36,15196.4,1432.94,86.15
33200,3.56,5490,4321.36,4.9,4.96,33684.83,1957.6,44.39,0.24,36.49,8.37,1.0594,22.9865,2.02,3.37,15325,1431.83,88
33400,3.59,5390,4357.35,4.95,4.99,33945.69,1971.96,44.23,0.24,36.42,8.47,1.0586,23.0242,2.01,3.31,15541.4,1443.89,90.28
33450,3.58,5240,4345.23,4.95,4.94,33856.81,1991.65,44.17,0.24,36.38,8.48,1.0535,22.8255,1.94,3.17,15484.5,1457,88.24
33650,3.59,5240,4342.37,4.87,4.84,33863.01,1963.17,44.27,0.24,36.34,8.39,1.0575,22.819,1.94,3.29,15323.7,1438.08,87.81
