Y,BVN,EUR_USD,JPY_THB,NYSE,TenBond_THB,USD_THB,Oil_Crud
33700.00,15.22,1.11,0.24,16898.30,2.72,34.35,73.80
33650.00,15.19,1.10,0.24,16859.50,2.72,34.56,75.32
33700.00,15.15,1.10,0.24,16770.40,2.72,34.61,73.56
33550.00,15.05,1.10,0.24,16724.90,2.76,34.80,73.91
33600.00,14.75,1.09,0.24,16534.70,2.80,34.99,73.81
33550.00,13.86,1.10,0.24,16798.40,2.77,34.84,74.06
29700.00,13.10,1.09,0.24,16656.80,2.83,34.98,72.48
29900.00,12.30,1.09,0.25,16609.80,2.84,34.89,71.68
29750.00,10.13,1.10,0.25,16723.90,2.86,34.88,71.61
33450.00,9.71,1.09,0.25,16560.70,2.85,35.34,69.85
33350.00,9.13,1.08,0.25,16285.90,2.98,35.70,68.73
33500.00,9.32,1.08,0.24,16274.40,3.03,35.75,71.43
33700.00,9.36,1.08,0.24,16092.40,3.00,35.16,69.28
33450.00,9.36,1.08,0.24,16123.00,3.09,35.24,72.10
33400.00,9.29,1.08,0.24,16232.80,3.03,35.25,74.58
33700.00,9.41,1.09,0.24,16263.80,3.03,34.91,75.59
33600.00,9.51,1.09,0.24,16088.80,2.99,35.29,77.75
34200.00,9.60,1.10,0.24,15963.00,3.00,34.83,76.56
33900.00,9.50,1.10,0.24,15929.20,2.98,34.77,75.07
33650.00,9.38,1.10,0.24,15930.90,3.00,35.07,75.31
33450.00,9.29,1.09,0.24,15983.80,3.12,35.40,76.79
33250.00,9.20,1.09,0.24,15907.90,3.04,35.25,77.77
33450.00,9.09,1.09,0.24,15861.60,3.14,35.18,77.65
33250.00,8.91,1.09,0.24,15881.60,3.07,35.21,75.65
33200.00,8.71,1.09,0.23,15813.50,3.11,35.11,72.97
32950.00,8.88,1.08,0.23,15716.50,3.13,35.21,76.60
32850.00,8.67,1.08,0.24,15765.00,3.16,35.59,78.17
32950.00,8.70,1.09,0.24,15732.70,3.27,35.53,78.53
