BVN,EUR_USD,Crude_Oil,JPY_THB,NYSE,TenBond_THB,USD_THB
15.22,1.11,73.8,0.24,16898.3,2.72,34.35
15.19,1.1,75.32,0.24,16859.5,2.72,34.56
15.15,1.1,73.56,0.24,16770.4,2.72,34.61
15.05,1.1,73.91,0.24,16724.9,2.76,34.8
14.75,1.09,73.81,0.24,16534.7,2.8,34.99
13.86,1.1,74.06,0.24,16798.4,2.77,34.84
13.1,1.09,72.48,0.24,16656.8,2.83,34.98
12.3,1.09,71.68,0.25,16609.8,2.84,34.89
10.13,1.1,71.61,0.25,16723.9,2.86,34.88
9.71,1.09,69.85,0.25,16560.7,2.85,35.34
9.13,1.08,68.73,0.25,16285.9,2.98,35.7
9.32,1.08,71.43,0.24,16274.4,3.03,35.75
9.36,1.08,69.28,0.24,16092.4,3,35.16
9.36,1.08,72.1,0.24,16123,3.09,35.24
9.29,1.08,74.58,0.24,16232.8,3.03,35.25
9.41,1.09,75.59,0.24,16263.8,3.03,34.91
9.51,1.09,77.75,0.24,16088.8,2.99,35.29
9.6,1.1,76.56,0.24,15963,3,34.83
9.5,1.1,75.07,0.24,15929.2,2.98,34.77
9.38,1.1,75.31,0.24,15930.9,3,35.07
9.29,1.09,76.79,0.24,15983.8,3.12,35.4
9.2,1.09,77.77,0.24,15907.9,3.04,35.25
9.09,1.09,77.65,0.24,15861.6,3.14,35.18
8.91,1.09,75.65,0.24,15881.6,3.07,35.21
8.71,1.09,72.97,0.23,15813.5,3.11,35.11
8.88,1.08,76.6,0.23,15716.5,3.13,35.21
8.67,1.08,78.17,0.24,15765,3.16,35.59
8.7,1.09,78.53,0.24,15732.7,3.27,35.53
8.59,1.07,77.15,0.24,15403.1,3.25,35.98
8.87,1.07,75.59,0.24,15388.4,3.24,35.97
8.62,1.07,75.65,0.24,15235.2,3.3,35.74
8.53,1.07,77.12,0.24,15352.2,3.33,35.53
8.48,1.07,80.93,0.24,15388.5,3.37,35.58
8.47,1.07,81.48,0.24,15440.5,3.29,35.52
8.19,1.06,82.59,0.24,14919.2,3.38,36.12
8.13,1.06,85,0.24,14825.9,3.35,35.9
8.48,1.06,83.53,0.24,14675.8,3.38,36.16
8.44,1.06,85.37,0.24,14858.7,3.32,36.28
8.61,1.06,83.69,0.24,14914.1,3.27,36.23
8.68,1.06,86.15,0.24,15025.8,3.35,36.2
8.51,1.07,90.28,0.24,14946,3.33,36.31
8.43,1.06,88.24,0.24,15196.4,3.37,36.42
8.37,1.05,87.81,0.24,15325,3.31,36.38
8.47,1.06,87.06,0.24,15541.4,3.17,36.34
8.48,1.06,87.72,0.24,15484.5,3.29,36.25
8.39,1.05,85.96,0.24,15323.7,3.27,36.25
8.28,1.06,86.43,0.25,15450.2,3.22,36.62
8.3,1.06,84.45,0.25,15318.1,3.29,36.97
7.95,1.05,89.42,0.25,15070.9,3.2,36.91
8.13,1.05,88.67,0.25,15049.6,3.16,37.08
8.23,1.05,90.82,0.25,15230,3.17,36.95
8.49,1.06,91.76,0.24,15398.2,3.14,36.55
8.59,1.06,93.78,0.25,15478.1,3.02,36.56
8.45,1.05,90.53,0.25,15394.7,2.98,36.67
8.44,1.06,89.88,0.24,15381.6,3.02,36.4
8.51,1.06,90.55,0.24,15593.7,2.98,36.19
8.5,1.07,89.62,0.24,15569.5,2.62,35.99
8.51,1.07,89.3,0.24,15601.6,2.62,36.16
8.25,1.07,91.55,0.24,15859.6,2.6,36.14
8.29,1.07,92.22,0.24,15929,2.6,36.02
8.74,1.07,91.2,0.24,15952.5,2.6,35.69
8.63,1.07,90.67,0.24,15973.7,2.6,35.71
8.71,1.06,88.81,0.24,16089.5,2.57,35.79
8.51,1.07,88.75,0.24,15926.6,2.59,35.72
8.47,1.08,87.4,0.24,15953.9,2.54,35.6
8.44,1.07,86.78,0.24,15879,2.53,35.64
8.29,1.07,86.72,0.24,15864.2,2.51,35.65
8.34,1.07,86.06,0.24,15942.5,2.49,35.47
8.41,1.08,83.63,0.24,16091.8,2.52,35.25
8.64,1.08,81.7,0.24,16000.4,2.54,35.01
8.65,1.09,81.29,0.24,16074.2,2.49,35.05
8.71,1.09,79.98,0.24,16041.5,2.49,35.02
8.4,1.08,80.15,0.24,15879.6,2.46,35.22
8.19,1.08,78.88,0.24,15766.9,2.56,35.16
8.14,1.08,78.57,0.24,15683,2.54,34.99
8.05,1.09,79.64,0.24,15823.3,2.51,34.98
8.02,1.08,80.8,0.24,15690.3,2.51,35.04
7.85,1.09,81.43,0.24,15746.2,2.52,35.22
7.67,1.09,80.04,0.24,15750.2,2.47,35.38
7.64,1.09,79.25,0.24,15734.4,2.51,35.48
7.83,1.09,81.23,0.24,15818.1,2.54,35.45
7.74,1.09,82.52,0.24,15911.3,2.43,35.38
7.9,1.09,82.83,0.24,16116,2.38,35.24
7.9,1.1,82.88,0.24,16135.2,2.34,35.13
7.92,1.1,82.53,0.24,16176.3,2.25,35.03
7.81,1.1,79.77,0.24,16208.2,2.31,34.84
7.77,1.09,82.05,0.24,16174.5,2.48,34.49
7.65,1.1,80.65,0.24,16356.5,2.45,34.35
7.71,1.1,78.9,0.24,16363.3,2.52,34.26
7.64,1.11,79.34,0.24,16418.2,2.52,34.2
7.59,1.11,78.85,0.24,16385.2,2.52,34.49
7.68,1.11,77.01,0.24,16369.1,2.55,34.53
7.82,1.11,75.7,0.24,16289.1,2.56,34.43
7.55,1.11,75.35,0.24,16263.7,2.47,34.2
7.42,1.12,75.84,0.24,16230.9,2.47,34.04
7.3,1.12,74.18,0.24,16156.5,2.47,34.07
7.73,1.12,75.02,0.25,16054.2,2.48,34.61
7.84,1.12,77.16,0.25,16040.2,2.42,34.65
7.95,1.12,75.85,0.25,16106.8,2.42,34.52
7.7,1.11,74.83,0.25,16011.3,2.44,34.67
8.02,1.1,73.19,0.25,15897.3,2.43,34.78
7.92,1.1,71.89,0.25,15748.9,2.47,35.11
7.7,1.09,71.8,0.24,15641.7,2.54,35.19
7.65,1.09,70.45,0.24,15835.5,2.52,34.99
7.32,1.09,69.82,0.24,15875.9,2.56,35.31
7.35,1.09,69.25,0.25,15737.4,2.5,35.64
7.39,1.09,68.01,0.25,15617.4,2.52,35.57
7.15,1.1,69.49,0.25,15646.7,2.5,35.24
7.13,1.09,69.84,0.25,15518.7,2.52,35.19
7.14,1.09,69.53,0.25,15469.3,2.46,35.24
7.52,1.1,72.43,0.25,15600.7,2.39,35.13
7.52,1.1,70.9,0.25,15657,2.37,34.81
7.56,1.09,71.45,0.25,15648.9,2.47,34.84
7.35,1.09,70.55,0.25,15795.1,2.47,34.76
7.5,1.09,68.7,0.25,15826.3,2.52,34.61
7.44,1.08,69.35,0.25,15642.7,2.62,34.69
7.4,1.08,67.31,0.25,15667.8,2.55,34.64
7.28,1.08,70.27,0.25,15548.5,2.64,34.64
7.28,1.08,70.94,0.25,15499.9,2.74,34.6
7.13,1.08,71.56,0.25,15502.6,2.69,34.63
7,1.07,71.99,0.25,15391.8,2.93,34.79
7.55,1.07,70.21,0.25,15275.2,3.05,34.8
6.96,1.08,67.6,0.25,15031.1,3.22,34.58
6.87,1.07,69.62,0.25,14887.1,3.16,34.72
7.04,1.07,73.23,0.25,14994.6,2.97,34.71
6.88,1.07,71.89,0.25,15078.7,3.11,34.72
6.59,1.07,74.21,0.25,14976,3.11,34.71
6.61,1.08,73.77,0.25,15022.9,3.12,34.65
6.72,1.08,72.1,0.25,15172.3,2.83,34.61
6.93,1.08,71.7,0.25,15318.8,2.83,34.47
7.15,1.08,71.94,0.25,15324.3,2.7,34.37
7.05,1.08,72.75,0.25,15345.4,2.59,34.42
7.01,1.08,70.6,0.25,15313.9,2.45,34.27
6.99,1.09,71.32,0.25,15129.3,2.45,34.06
7,1.09,70.04,0.25,15322.6,2.47,33.79
7.01,1.09,71.42,0.25,15246.4,2.45,33.93
7,1.1,73.58,0.25,15352.8,2.51,33.72
7.08,1.1,72.84,0.25,15391.3,2.57,33.87
7.19,1.11,74.91,0.25,15233.8,2.35,33.93
7.1,1.1,74.38,0.25,15545.9,2.38,34.13
7.28,1.1,77.08,0.26,15431.6,2.46,34.15
7.21,1.1,78.74,0.26,15228.6,2.49,34.15
7.29,1.1,77.97,0.26,15363.5,2.44,34.4
7.34,1.1,77.13,0.26,15606.7,2.44,34.36
7.56,1.1,78.87,0.26,15578.9,2.55,34.39
7.51,1.1,80.92,0.26,15582.9,2.55,34.33
7.51,1.1,81,0.26,15653.6,2.53,34.44
7.77,1.1,82.48,0.26,15685,2.53,34.28
7.87,1.09,81.44,0.26,15668.3,2.77,34.5
7.75,1.1,80.5,0.26,15601.8,2.77,34.29
7.93,1.09,81.01,0.26,15520.9,2.7,34.28
8.24,1.09,80.44,0.26,15379.1,2.88,34.16
8.37,1.09,74.37,0.26,15487.8,2.86,34.22
8.08,1.09,72.98,0.26,15200.6,2.88,34.13
8.29,1.08,73.61,0.26,15124,2.9,34.18
8.14,1.08,72.86,0.26,14949.3,2.97,34.26
