Date_Y,Y,Date_DJI,DJI,Date_Set_One,Set_One,Date_GBP_THB,GBP_THB,Date_EURUSD,EURUSD,Date_Oil,Oil,Date_XAG,XAG,Date_XAU_XAG,XAU_XAG,Date_Rhodium,Rhodium,Date_SP_FIVE,SP_FIVE,Date_JPY_THB,JPY_THB,Date_BVN ,BVN ,Date_Set,Set,Date_NYSE,NYSE,Date_USD_THB,USD_THB,Date_TenBond_THB,TenBond_THB
28-12-2023,33700,28-12-2023,37661.52,28-12-2023,1935.13,28-12-2023,43.94,28-12-2023,1.1107,28-12-2023,73.8,28-12-2023,24.265,28-12-2023,85.56,28-12-2023,"4,415.00",28-12-2023,"4,786.44",28-12-2023,0.2424,28-12-2023,15.22,28-12-2023,"1,410.87",28-12-2023,"16,898.30",28-12-2023,34.35,28-12-2023,2.72
27-12-2023,33650,27-12-2023,37518.62,27-12-2023,1943.01,27-12-2023,43.96,27-12-2023,1.1043,27-12-2023,75.32,27-12-2023,24.21,27-12-2023,85.38,27-12-2023,"4,415.00",27-12-2023,"4,773.45",27-12-2023,0.242,27-12-2023,15.19,27-12-2023,"1,415.06",27-12-2023,"16,859.50",27-12-2023,34.56,27-12-2023,2.72
26-12-2023,33700,26-12-2023,37405.9,26-12-2023,1934.81,26-12-2023,43.92,26-12-2023,1.101,26-12-2023,73.56,26-12-2023,24.2311,26-12-2023,84.78,22-12-2023,"4,415.00",26-12-2023,"4,758.86",26-12-2023,0.243,26-12-2023,15.15,26-12-2023,"1,409.00",26-12-2023,"16,770.40",26-12-2023,34.61,26-12-2023,2.72
22-12-2023,33550,22-12-2023,37349.27,22-12-2023,1932.66,22-12-2023,44.15,22-12-2023,1.101,22-12-2023,73.91,22-12-2023,24.4035,22-12-2023,83.91,21-12-2023,"4,415.00",22-12-2023,"4,753.92",22-12-2023,0.2444,22-12-2023,15.05,22-12-2023,"1,407.39",22-12-2023,"16,724.90",22-12-2023,34.8,22-12-2023,2.76
21-12-2023,33600,21-12-2023,37264.53,21-12-2023,1915.79,21-12-2023,44.21,21-12-2023,1.0941,21-12-2023,73.81,21-12-2023,24.1331,21-12-2023,84.09,20-12-2023,"4,415.00",21-12-2023,"4,724.29",21-12-2023,0.2438,21-12-2023,14.75,21-12-2023,"1,394.91",21-12-2023,"16,534.70",21-12-2023,34.99,19-12-2023,2.8
20-12-2023,33550,20-12-2023,37520.13,20-12-2023,1923.3,20-12-2023,44.36,20-12-2023,1.098,20-12-2023,74.06,20-12-2023,24.0498,20-12-2023,84.84,19-12-2023,"4,415.00",20-12-2023,"4,764.73",20-12-2023,0.2422,20-12-2023,13.86,20-12-2023,"1,398.01",20-12-2023,"16,798.40",20-12-2023,34.84,15-12-2023,2.77
13-01-2023,29700,19-12-2023,37311.82,19-12-2023,1917.71,19-12-2023,44.22,19-12-2023,1.0924,19-12-2023,72.48,19-12-2023,23.8023,19-12-2023,85.17,18-12-2023,"4,415.00",19-12-2023,"4,743.72",19-12-2023,0.2449,19-12-2023,13.1,19-12-2023,"1,395.26",19-12-2023,"16,656.80",19-12-2023,34.98,14-12-2023,2.83
17-01-2023,29900,18-12-2023,37323.65,18-12-2023,1903.88,18-12-2023,44.24,18-12-2023,1.0903,18-12-2023,71.68,18-12-2023,23.8465,18-12-2023,85.01,15-12-2023,"4,390.00",18-12-2023,"4,725.58",18-12-2023,0.2452,18-12-2023,12.3,18-12-2023,"1,387.33",18-12-2023,"16,609.80",18-12-2023,34.89,13-12-2023,2.84
18-01-2023,29750,15-12-2023,37194.5,15-12-2023,1900.63,15-12-2023,44.53,15-12-2023,1.0994,15-12-2023,71.61,15-12-2023,24.165,15-12-2023,84.35,14-12-2023,"4,390.00",15-12-2023,"4,714.23",15-12-2023,0.2451,15-12-2023,10.13,15-12-2023,"1,384.87",15-12-2023,"16,723.90",15-12-2023,34.88,12-12-2023,2.855
19-12-2023,33450,14-12-2023,37115.63,14-12-2023,1879.76,14-12-2023,44.54,14-12-2023,1.0874,14-12-2023,69.85,14-12-2023,23.77,14-12-2023,85.28,13-12-2023,"4,390.00",14-12-2023,"4,721.04",14-12-2023,0.246,14-12-2023,9.71,14-12-2023,"1,370.16",14-12-2023,"16,560.70",14-12-2023,35.34,07-12-2023,2.85
18-12-2023,33350,13-12-2023,36580.03,13-12-2023,1877.01,13-12-2023,44.85,13-12-2023,1.0793,13-12-2023,68.73,13-12-2023,22.765,13-12-2023,86.86,12-12-2023,"4,390.00",13-12-2023,"4,646.20",13-12-2023,0.2457,13-12-2023,9.13,13-12-2023,"1,369.88",13-12-2023,"16,285.90",13-12-2023,35.7,06-12-2023,2.98
15-12-2023,33500,12-12-2023,36442.1,12-12-2023,1894.51,12-12-2023,44.87,12-12-2023,1.0762,12-12-2023,71.43,12-12-2023,22.8181,12-12-2023,86.93,07-12-2023,"4,390.00",12-12-2023,"4,618.30",12-12-2023,0.2444,12-12-2023,9.32,12-12-2023,"1,383.31",12-12-2023,"16,274.40",12-12-2023,35.75,30-11-2023,3.03
14-12-2023,33700,12-07-2023,36124.17,12-07-2023,1891.25,12-07-2023,44.16,07-12-2023,1.0769,12-07-2023,69.28,12-07-2023,23.8994,07-12-2023,84.74,06-12-2023,"4,390.00",07-12-2023,"4,568.84",07-12-2023,0.2393,07-12-2023,9.36,07-12-2023,"1,384.06",07-12-2023,"16,092.40",07-12-2023,35.16,29-11-2023,3
13-12-2023,33450,12-06-2023,36183.73,12-06-2023,1894.83,12-06-2023,44.37,06-12-2023,1.0793,12-06-2023,72.1,12-06-2023,24.1492,06-12-2023,83.49,05-12-2023,"4,390.00",06-12-2023,"4,586.23",06-12-2023,0.2396,06-12-2023,9.36,06-12-2023,"1,383.14",06-12-2023,"16,123.00",06-12-2023,35.24,28-11-2023,3.09
12-12-2023,33400,12-04-2023,36039.24,12-04-2023,1883.33,12-04-2023,44.35,05-12-2023,1.0836,12-04-2023,74.58,12-04-2023,25.445,05-12-2023,82.9,04-12-2023,"4,390.00",05-12-2023,"4,557.25",05-12-2023,0.2392,05-12-2023,9.29,04-12-2023,"1,376.72",05-12-2023,"16,232.80",05-12-2023,35.25,27-11-2023,3.03
12-07-2023,33700,12-01-2023,35914.45,12-01-2023,1891.07,12-01-2023,44.59,04-12-2023,1.0887,12-01-2023,75.59,12-01-2023,25.27,04-12-2023,82.4,01-12-2023,"4,390.00",04-12-2023,"4,564.37",04-12-2023,0.2403,04-12-2023,9.41,01-12-2023,"1,382.25",04-12-2023,"16,263.80",04-12-2023,34.91,24-11-2023,3.03
12-06-2023,33600,30-11-2023,35596.57,30-11-2023,1903.87,30-11-2023,44.22,01-12-2023,1.0887,30-11-2023,77.75,30-11-2023,25.027,01-12-2023,80.44,30-11-2023,"4,490.00",01-12-2023,"4,559.43",01-12-2023,0.2384,01-12-2023,9.51,30-11-2023,"1,389.25",01-12-2023,"16,088.80",01-12-2023,35.29,22-11-2023,2.99
12-04-2023,34200,29-11-2023,35436.8,29-11-2023,1925.45,29-11-2023,44.11,30-11-2023,1.0971,29-11-2023,76.56,29-11-2023,25.04,30-11-2023,81.89,29-11-2023,"4,490.00",30-11-2023,"4,554.87",30-11-2023,0.2367,30-11-2023,9.6,29-11-2023,"1,404.89",30-11-2023,"15,963.00",30-11-2023,34.83,21-11-2023,3
12-01-2023,33900,28-11-2023,35332.13,28-11-2023,1916.97,28-11-2023,44.3,29-11-2023,1.0992,28-11-2023,75.07,28-11-2023,24.645,29-11-2023,81.52,28-11-2023,"4,490.00",29-11-2023,"4,571.84",29-11-2023,0.2357,29-11-2023,9.5,28-11-2023,"1,398.57",29-11-2023,"15,929.20",29-11-2023,34.77,20-11-2023,2.98
30-11-2023,33650,27-11-2023,35376.44,27-11-2023,1904,27-11-2023,44.49,28-11-2023,1.0954,27-11-2023,75.31,27-11-2023,24.2958,28-11-2023,81.71,27-11-2023,"4,490.00",28-11-2023,"4,545.55",28-11-2023,0.2359,28-11-2023,9.38,27-11-2023,"1,393.02",28-11-2023,"15,930.90",28-11-2023,35.065,17-11-2023,3
29-11-2023,33450,24-11-2023,35299.9,24-11-2023,1924.1,24-11-2023,44.2,27-11-2023,1.0937,24-11-2023,76.79,24-11-2023,23.6965,27-11-2023,82.26,24-11-2023,"4,390.00",27-11-2023,"4,554.86",27-11-2023,0.2365,27-11-2023,9.29,24-11-2023,"1,407.39",27-11-2023,"15,983.80",27-11-2023,35.4,16-11-2023,3.12
28-11-2023,33250,22-11-2023,35189.33,22-11-2023,1947.54,22-11-2023,44.11,24-11-2023,1.0905,22-11-2023,77.77,22-11-2023,23.745,24-11-2023,84.15,22-11-2023,"4,340.00",24-11-2023,"4,555.84",24-11-2023,0.2359,24-11-2023,9.2,22-11-2023,"1,422.02",24-11-2023,"15,907.90",24-11-2023,35.25,15-11-2023,3.04
27-11-2023,33450,21-11-2023,35113.5,21-11-2023,1957.26,21-11-2023,44.03,22-11-2023,1.0911,21-11-2023,77.65,21-11-2023,23.4336,22-11-2023,83.99,21-11-2023,"4,340.00",22-11-2023,"4,553.04",22-11-2023,0.2375,22-11-2023,9.09,21-11-2023,"1,427.04",22-11-2023,"15,861.60",22-11-2023,35.18,14-11-2023,3.14
