Date,Dollar_Index,World_Gold_Price,Dow_Jones_Avg,Set_Index,Thai_Five_Bond,Thai_Ten_Bond,Oil_Price,Usd_Thb,Spx,Xag_Usd,Rhodium,Eur_Usd,Nyse,Bvn,Us_Five_Year,Us_Ten_Year,Copper,Palladium,Y
44938.00,102.59,2019.79,37309.22,1391.03,2.66,2.76,71.43,34.90,4719.19,23.83,4390.00,1.09,16609.80,12.50,3.91,3.91,3.89,1202.40,23.83
44937.00,103.50,2036.07,35950.96,1380.18,2.78,2.98,75.96,35.31,4567.78,25.25,4490.00,1.09,16088.80,9.54,4.27,4.33,3.85,1020.40,25.25
44936.00,106.66,1983.01,33052.74,1381.83,2.81,3.23,81.02,36.14,4193.80,22.90,4440.00,1.06,14919.20,8.10,4.85,4.93,3.65,1126.10,22.90
44935.00,106.22,1848.58,33507.76,1471.43,2.43,3.17,90.79,36.51,4288.05,22.16,4090.00,1.06,15398.20,8.52,4.62,4.58,3.74,1256.00,22.16
44934.00,103.62,1939.74,34721.16,1565.94,2.40,2.60,83.63,34.98,4507.66,24.44,4090.00,1.08,16000.40,8.54,4.25,4.11,3.82,1225.20,24.44
44933.00,101.86,1964.19,35559.53,1556.06,2.34,2.57,81.80,34.21,4588.96,24.77,4090.00,1.10,16427.30,7.72,4.18,3.97,4.01,1275.60,24.77
44932.00,102.91,1919.57,34407.60,1503.10,2.26,2.52,70.64,35.27,4450.38,22.75,4490.00,1.09,15875.90,7.35,4.16,3.84,3.76,1222.00,22.75
44931.00,104.33,1962.30,32908.27,1533.54,2.15,2.56,68.09,34.64,4179.83,23.48,6890.00,1.07,14887.10,6.81,3.76,3.65,3.64,1359.00,23.48
44930.00,101.66,1989.65,34098.16,1529.12,2.07,2.51,76.78,34.12,4169.48,25.04,8840.00,1.10,15545.90,7.07,3.50,3.43,3.88,1496.03,25.04
44929.00,102.51,1967.90,33274.15,1609.17,2.22,2.38,75.67,34.16,4109.31,24.07,7890.00,1.08,15374.90,8.18,3.58,3.47,4.09,1478.50,24.07
44928.00,104.87,1827.15,32656.70,1622.35,2.02,2.56,77.05,35.22,3970.15,20.91,10190.00,1.06,15429.00,7.58,4.19,3.93,4.07,1420.90,20.91
44927.00,102.10,1927.88,34086.04,1671.46,2.04,2.47,80.11,32.84,4076.60,23.70,11990.00,1.09,16036.40,8.09,3.62,3.51,4.23,1667.70,23.70
44573.00,103.52,1824.40,33147.25,1668.66,2.32,2.52,80.47,34.61,3839.50,23.97,12240.00,1.07,15184.30,7.45,4.00,3.88,3.81,1806.70,23.97
44572.00,105.95,1768.45,34589.77,1635.36,2.78,2.62,80.56,35.11,4080.11,22.19,13290.00,1.04,15780.00,8.16,3.75,3.61,3.74,1866.00,22.19
