Date,Y,GOLD,BOND10THB,OIL,SET,USD_THB,XAU_USD
28-12-2023,"33,800.00","2,089.50",2.72,74.04,"1,410.87",34.35,"2,077.34"
27-12-2023,"33,750.00","2,068.00",2.72,75.57,"1,415.06",34.56,"2,066.70"
26-12-2023,"33,800.00","2,056.30",2.72,73.74,"1,408.17",34.61,"2,055.73"
19-12-2023,"33,550.00","2,031.00",2.8,72.93,"1,395.26",34.98,"2,027.30"
14-12-2023,"33,800.00","2,031.60",2.83,70.08,"1,370.16",35.34,"2,026.59"
13-12-2023,"33,550.00","1,985.50",2.84,68.99,"1,369.88",35.7,"1,979.74"
12-12-2023,"33,500.00","1,989.00",2.855,71.67,"1,382.91",35.75,"1,981.59"
07-12-2023,"33,800.00","2,034.70",2.85,69.57,"1,382.18",35.16,"2,025.30"
06-12-2023,"33,700.00","2,028.30",2.98,72.33,"1,383.14",35.24,"2,019.74"
30-11-2023,"33,750.00","2,055.80",3.03,77.79,"1,389.25",34.83,"2,044.80"
29-11-2023,"33,550.00","2,053.20",3,76.67,"1,404.89",34.77,"2,041.24"
28-11-2023,"33,350.00","2,014.30",3.09,75.32,"1,398.57",35.065,"2,013.94"
27-11-2023,"33,550.00","2,002.50",3.03,75.57,"1,393.02",35.4,"2,002.78"
22-11-2023,"33,300.00","2,000.30",2.99,77.92,"1,422.02",35.18,"1,998.69"
21-11-2023,"33,050.00","1,980.00",3,77.69,"1,427.04",35.21,"1,977.49"
20-11-2023,"32,950.00","1,980.90",2.98,75.8,"1,415.68",35.11,"1,980.39"
16-11-2023,"33,100.00","1,963.00",3.12,76.71,"1,413.05",35.59,"1,959.44"
15-11-2023,"33,050.00","1,966.90",3.04,78.1,"1,401.48",35.525,"1,963.05"
14-11-2023,"33,200.00","1,950.30",3.14,78.48,"1,390.37",35.98,"1,946.19"
09-11-2023,"32,800.00","1,955.50",3.11,75.63,"1,410.83",35.53,"1,950.09"
08-11-2023,"33,100.00","1,975.30",3.13,77.03,"1,410.07",35.58,"1,968.84"
07-11-2023,"33,300.00","1,984.80",3.16,80.69,"1,413.64",35.515,"1,978.19"
06-11-2023,"33,500.00","1,999.40",3.19,80.76,"1,430.01",35.51,"1,992.30"
02-11-2023,"33,850.00","1,992.00",3.27,80.44,"1,391.97",36.19,"1,983.53"
01-11-2023,"34,000.00","1,993.30",3.25,80.98,"1,380.89",36.12,"1,983.01"
31-10-2023,"34,000.00","2,005.60",3.235,81.96,"1,395.60",35.9,"1,996.00"
30-10-2023,"34,150.00","2,013.50",3.295,84.25,"1,381.57",36.16,"2,004.80"
26-10-2023,"34,100.00","1,981.60",3.37,84.58,"1,394.50",36.23,"1,979.97"
25-10-2023,"33,750.00","1,972.00",3.29,82.99,"1,401.25",36.2,"1,971.36"
24-10-2023,"33,900.00","1,975.10",3.38,85.05,"1,395.92",36.31,"1,972.97"
19-10-2023,"33,600.00","1,950.30",3.35,87.22,"1,425.07",36.38,"1,947.99"
18-10-2023,"33,250.00","1,926.60",3.38,86.41,"1,432.94",36.34,"1,923.70"
17-10-2023,"32,950.00","1,923.20",3.32,85.69,"1,431.83",36.25,"1,920.14"
16-10-2023,"32,950.00","1,931.90",3.27,86.37,"1,443.89",36.25,"1,929.30"
12-10-2023,"32,300.00","1,880.20",3.28,81.84,"1,457.00",36.41,"1,874.10"
11-10-2023,"32,250.00","1,864.60",3.35,84.16,"1,438.08",36.62,"1,859.99"
10-10-2023,"32,550.00","1,866.30",3.33,84.7,"1,441.84",36.97,"1,861.27"
09-10-2023,"32,450.00","1,850.70",3.36,83.2,"1,434.67",37.01,"1,832.74"
05-10-2023,"31,950.00","1,828.00",3.37,82.85,"1,454.57",36.905,"1,820.49"
04-10-2023,"32,000.00","1,829.10",3.31,87.44,"1,430.74",37.08,"1,824.30"
03-10-2023,"31,900.00","1,835.70",3.17,87.01,"1,458.65",36.95,"1,827.96"
28-09-2023,"32,600.00","1,885.40",3.27,91.44,"1,497.65",36.67,"1,875.73"
27-09-2023,"32,850.00","1,900.30",3.22,88.92,"1,494.14",36.4,"1,900.69"
26-09-2023,"32,900.00","1,916.70",3.29,88.3,"1,504.69",36.19,"1,916.03"
25-09-2023,"32,800.00","1,926.40",3.2,88.83,"1,524.39",35.99,"1,925.24"
21-09-2023,"32,950.00","1,932.80",3.17,88.07,"1,504.55",36.14,"1,930.99"
20-09-2023,"32,950.00","1,934.70",3.14,90.63,"1,521.66",36.02,"1,931.69"
19-09-2023,"32,600.00","1,936.70",3.02,90.97,"1,527.68",35.69,"1,933.68"
18-09-2023,"32,500.00","1,927.70",2.98,90.41,"1,539.40",35.71,"1,924.19"
14-09-2023,"32,300.00","1,912.70",3.02,88.19,"1,538.03",35.72,"1,906.68"
13-09-2023,"32,300.00","1,917.80",2.98,88.07,"1,546.47",35.6,"1,913.55"
12-09-2023,"32,350.00","1,927.40",2.94,86.62,"1,544.08",35.5,"1,922.90"
11-09-2023,"32,300.00","1,925.60",2.62,86.74,"1,548.93",35.64,"1,919.16"
29-08-2023,"32,000.00","1,920.30",2.6,79.55,"1,566.00",35.22,"1,920.23"
24-08-2023,"31,750.00","1,918.70",2.6,78.3,"1,552.97",34.98,"1,914.15"
16-08-2023,"31,950.00","1,905.10",2.6,80.74,"1,516.64",35.38,"1,901.59"
08-08-2023,"31,950.00","1,941.80",2.6,82.04,"1,534.61",34.84,"1,936.76"
07-08-2023,"31,850.00","1,948.50",2.57,82.27,"1,533.18",34.69,"1,942.59"
27-07-2023,"32,000.00","1,973.30",2.57,78.49,"1,527.12",34.195,"1,972.08"
26-07-2023,"32,050.00","1,966.30",2.59,78.88,"1,527.41",34.49,"1,964.99"
20-07-2023,"31,850.00","1,980.00",2.54,75.33,"1,536.08",34.04,"1,976.80"
17-07-2023,"32,050.00","1,958.60",2.53,74.88,"1,521.39",34.65,"1,954.90"
06-07-2023,"31,850.00","1,922.40",2.51,71.85,"1,503.38",34.99,"1,916.05"
05-07-2023,"31,900.00","1,929.10",2.49,70.25,"1,512.93",34.9,"1,925.90"
27-06-2023,"32,150.00","1,927.40",2.52,69.63,"1,488.17",35.19,"1,923.21"
22-06-2023,"31,900.00","1,935.90",2.54,72.4,"1,524.35",34.81,"1,932.09"
13-06-2023,"32,100.00","1,962.90",2.49,67.45,"1,553.11",34.64,"1,957.69"
07-06-2023,"32,300.00","1,971.20",2.49,71.7,"1,531.30",34.79,"1,963.59"
01-06-2023,"32,250.00","1,972.30",2.46,67.81,"1,534.16",34.72,"1,962.80"
23-05-2023,"32,150.00","1,973.90",2.54,72,"1,526.15",34.47,"1,971.99"
22-05-2023,"32,200.00","1,979.40",2.51,71.87,"1,505.21",34.37,"1,977.80"
17-05-2023,"32,250.00","1,993.00",2.52,70.6,"1,541.29",34.06,"1,988.94"
11-05-2023,"32,400.00","2,036.80",2.48,72.54,"1,571.21",33.65,"2,030.56"
08-05-2023,"32,450.00","2,024.60",2.46,71.27,"1,541.51",33.9,"2,015.95"
03-05-2023,"32,150.00","2,026.40",2.47,71.43,"1,521.17",34.12,"2,014.80"
27-04-2023,"32,250.00","1,999.80",2.51,74.3,"1,539.28",34.15,"1,987.58"
19-04-2023,"32,600.00","2,008.50",2.54,80.96,"1,588.90",34.28,"2,007.49"
03-04-2023,"31,850.00","1,982.60",2.43,80.6,"1,610.84",34.16,"1,970.84"
29-03-2023,"31,900.00","1,975.40",2.34,73.74,"1,611.75",34.26,"1,972.82"
27-03-2023,"32,050.00","1,982.60",2.25,69.75,"1,595.12",34.22,"1,977.66"
23-03-2023,"31,850.00","1,974.00",2.31,70.07,"1,582.26",34.28,"1,967.91"
09-03-2023,"30,150.00","1,818.00",2.48,76.65,"1,615.27",35.05,"1,813.65"
08-03-2023,"30,150.00","1,818.00",2.52,77.36,"1,606.13",35.1,"1,813.61"
22-02-2023,"30,100.00","1,837.00",2.52,76.29,"1,665.60",34.6,"1,834.71"
21-02-2023,"30,050.00","1,842.00",2.52,76.64,"1,659.70",34.39,"1,841.71"
16-02-2023,"29,800.00","1,838.90",2.55,78.68,"1,653.85",34.265,"1,836.56"
13-02-2023,"29,750.00","1,866.70",2.56,80.05,"1,661.37",33.71,"1,865.69"
02-02-2023,"30,200.00","1,959.30",2.47,77.06,"1,689.16",32.82,"1,950.54"
31-01-2023,"29,900.00","1,929.50",2.47,78.19,"1,681.66",32.78,"1,922.82"
24-01-2023,"29,950.00","1,932.00",2.47,81.94,"1,689.90",32.73,"1,931.35"
23-01-2023,"29,900.00","1,928.40",2.48,82.12,"1,681.33",32.74,"1,926.20"
19-01-2023,"29,850.00","1,907.00",2.42,79.43,"1,682.13",32.96,"1,903.83"
12-01-2023,"29,750.00","1,879.70",2.44,77.9,"1,688.34",33.425,"1,876.43"
11-01-2023,"29,800.00","1,881.30",2.43,75.06,"1,693.22",33.49,"1,877.30"
09-01-2023,"29,800.00","1,872.80",2.47,73.87,"1,685.30",33.77,"1,865.45"
29-12-2022,"29,700.00","1,812.30",2.52,79.01,"1,644.73",34.77,"1,804.16"
28-12-2022,"29,750.00","1,812.40",2.56,80.02,"1,644.00",34.64,"1,814.00"
27-12-2022,"29,600.00","1,799.70",2.5,79.99,"1,632.06",34.685,"1,796.67"
22-12-2022,"29,800.00","1,818.00",2.5,78.28,"1,614.53",34.71,"1,814.20"
21-12-2022,"29,800.00","1,821.60",2.52,76,"1,611.26",34.68,"1,818.06"
19-12-2022,"29,550.00","1,795.20",2.46,74.62,"1,619.03",34.87,"1,793.13"
14-12-2022,"29,650.00","1,815.10",2.37,75.22,"1,630.49",34.61,"1,810.49"
07-12-2022,"29,500.00","1,774.70",2.47,74.73,"1,632.20",35.1,"1,771.14"
06-12-2022,"29,450.00","1,775.30",2.52,77.46,"1,639.25",34.98,"1,768.67"
29-11-2022,"29,550.00","1,747.60",2.62,76.66,"1,619.23",35.73,"1,740.82"
23-11-2022,"29,800.00","1,740.80",2.64,80.86,"1,619.87",36.13,"1,740.30"
21-11-2022,"29,800.00","1,752.00",2.74,80.26,"1,613.43",35.81,"1,750.82"
16-11-2022,"29,950.00","1,782.00",2.69,86.23,"1,628.74",35.56,"1,778.34"
09-11-2022,"29,800.00","1,715.20",2.93,87.73,"1,633.58",37,"1,712.60"
01-11-2022,"29,550.00","1,636.10",3.22,85.2,"1,614.23",38.06,"1,633.40"
12-10-2022,"30,100.00","1,668.30",3.12,87.25,"1,564.42",38.11,"1,666.49"
11-10-2022,"30,050.00","1,670.20",3.16,89.75,"1,567.37",37.98,"1,668.40"
