Y,BOND10THB,OIL,SET,USD_THB,XAU_USD
33800,2.72,74.04,1410.87,34.35,2077.34
33750,2.72,75.57,1415.06,34.56,2066.7
33800,2.72,73.74,1408.17,34.61,2055.73
33550,2.8,72.93,1395.26,34.98,2027.3
33800,2.83,70.08,1370.16,35.34,2026.59
33550,2.84,68.99,1369.88,35.7,1979.74
33500,2.855,71.67,1382.91,35.75,1981.59
33800,2.85,69.57,1382.18,35.16,2025.3
33700,2.98,72.33,1383.14,35.24,2019.74
33750,3.03,77.79,1389.25,34.83,2044.8
33550,3,76.67,1404.89,34.77,2041.24
33350,3.09,75.32,1398.57,35.065,2013.94
33550,3.03,75.57,1393.02,35.4,2002.78
33300,2.99,77.92,1422.02,35.18,1998.69
33050,3,77.69,1427.04,35.21,1977.49
32950,2.98,75.8,1415.68,35.11,1980.39
33100,3.12,76.71,1413.05,35.59,1959.44
33050,3.04,78.1,1401.48,35.525,1963.05
33200,3.14,78.48,1390.37,35.98,1946.19
32800,3.11,75.63,1410.83,35.53,1950.09
33100,3.13,77.03,1410.07,35.58,1968.84
33300,3.16,80.69,1413.64,35.515,1978.19
33500,3.19,80.76,1430.01,35.51,1992.3
33850,3.27,80.44,1391.97,36.19,1983.53
34000,3.25,80.98,1380.89,36.12,1983.01
34000,3.235,81.96,1395.6,35.9,1996
34150,3.295,84.25,1381.57,36.16,2004.8
34100,3.37,84.58,1394.5,36.23,1979.97
33750,3.29,82.99,1401.25,36.2,1971.36
33900,3.38,85.05,1395.92,36.31,1972.97
33600,3.35,87.22,1425.07,36.38,1947.99
33250,3.38,86.41,1432.94,36.34,1923.7
32950,3.32,85.69,1431.83,36.25,1920.14
32950,3.27,86.37,1443.89,36.25,1929.3
32300,3.28,81.84,1457,36.41,1874.1
32250,3.35,84.16,1438.08,36.62,1859.99
32550,3.33,84.7,1441.84,36.97,1861.27
32450,3.36,83.2,1434.67,37.01,1832.74
31950,3.37,82.85,1454.57,36.905,1820.49
32000,3.31,87.44,1430.74,37.08,1824.3
31900,3.17,87.01,1458.65,36.95,1827.96
