Y_Date,Y
29-05-2014,19500
30-05-2014,19600
02-06-2014,19450
03-06-2014,19350
04-06-2014,19300
05-06-2014,19300
06-06-2014,19400
09-06-2014,19300
10-06-2014,19300
11-06-2014,19450
12-06-2014,19450
13-06-2014,19600
16-06-2014,19650
17-06-2014,19550
18-06-2014,19600
19-06-2014,19600
20-06-2014,20150
23-06-2014,20150
24-06-2014,20250
25-06-2014,20250
26-06-2014,20250
27-06-2014,20250
30-06-2014,20250
02-07-2014,20350
03-07-2014,20350
04-07-2014,20250
08-07-2014,20250
09-07-2014,20250
10-07-2014,20300
14-07-2014,20400
15-07-2014,19950
16-07-2014,19800
17-07-2014,19850
18-07-2014,20100
21-07-2014,19950
22-07-2014,19850
23-07-2014,19750
24-07-2014,19650
25-07-2014,19550
28-07-2014,19650
29-07-2014,19700
30-07-2014,19650
31-07-2014,19650
01-08-2014,19600
04-08-2014,19700
05-08-2014,19650
06-08-2014,19700
07-08-2014,19900
08-08-2014,20100
13-08-2014,19900
14-08-2014,19850
15-08-2014,19850
18-08-2014,19650
19-08-2014,19650
20-08-2014,19600
21-08-2014,19600
22-08-2014,19400
25-08-2014,19450
26-08-2014,19350
27-08-2014,19450
28-08-2014,19450
29-08-2014,19550
01-09-2014,19500
03-09-2014,19350
04-09-2014,19350
05-09-2014,19250
08-09-2014,19250
09-09-2014,19150
10-09-2014,19150
11-09-2014,19050
12-09-2014,18850
15-09-2014,18850
16-09-2014,18950
17-09-2014,18950
18-09-2014,18800
19-09-2014,18750
22-09-2014,18550
23-09-2014,18650
24-09-2014,18700
25-09-2014,18600
26-09-2014,18750
29-09-2014,18700
30-09-2014,18700
01-10-2014,18500
02-10-2014,18600
03-10-2014,18600
06-10-2014,18300
07-10-2014,18550
08-10-2014,18700
09-10-2014,18750
10-10-2014,18700
13-10-2014,18850
14-10-2014,18850
15-10-2014,18850
16-10-2014,19000
17-10-2014,18950
20-10-2014,18900
21-10-2014,18950
22-10-2014,19000
24-10-2014,18850
27-10-2014,18800
28-10-2014,18850
29-10-2014,18850
30-10-2014,18650
31-10-2014,18400
03-11-2014,18000
04-11-2014,18000
05-11-2014,18000
06-11-2014,17750
07-11-2014,17750
10-11-2014,18150
11-11-2014,17900
12-11-2014,18050
13-11-2014,18000
14-11-2014,18000
17-11-2014,18350
18-11-2014,18300
19-11-2014,18450
20-11-2014,18300
21-11-2014,18450
24-11-2014,18550
25-11-2014,18550
26-11-2014,18550
27-11-2014,18500
01-12-2014,18000
02-12-2014,18750
03-12-2014,18700
04-12-2014,18800
08-12-2014,18700
09-12-2014,18800
11-12-2014,19100
12-12-2014,19050
15-12-2014,18950
16-12-2014,18750
17-12-2014,18750
18-12-2014,18650
19-12-2014,18700
22-12-2014,18650
23-12-2014,18400
24-12-2014,18400
26-12-2014,18450
29-12-2014,18650
30-12-2014,18550
05-01-2015,18550
06-01-2015,18700
07-01-2015,18850
08-01-2015,18800
09-01-2015,18750
12-01-2015,18950
13-01-2015,19100
14-01-2015,19050
15-01-2015,19000
16-01-2015,19400
19-01-2015,19600
21-01-2015,19950
22-01-2015,19850
23-01-2015,19950
26-01-2015,19900
27-01-2015,19650
28-01-2015,19850
29-01-2015,19700
30-01-2015,19500
02-02-2015,19850
03-02-2015,19650
04-02-2015,19500
05-02-2015,19650
06-02-2015,19550
09-02-2015,19200
10-02-2015,19200
11-02-2015,19150
12-02-2015,18950
13-02-2015,19000
16-02-2015,19050
18-02-2015,18700
19-02-2015,18800
20-02-2015,18700
23-02-2015,18600
24-02-2015,18600
25-02-2015,18650
26-02-2015,18650
27-02-2015,18600
02-03-2015,18750
03-03-2015,18400
05-03-2015,18500
06-03-2015,18450
09-03-2015,18100
10-03-2015,18100
11-03-2015,18050
12-03-2015,18000
13-03-2015,18050
16-03-2015,18100
17-03-2015,18050
18-03-2015,18000
19-03-2015,18200
20-03-2015,18200
23-03-2015,18300
24-03-2015,18300
25-03-2015,18350
26-03-2015,18500
27-03-2015,18550
30-03-2015,18500
31-03-2015,18350
01-04-2015,18350
02-04-2015,18500
07-04-2015,18700
08-04-2015,18650
09-04-2015,18500
10-04-2015,18450
16-04-2015,18550
17-04-2015,18450
20-04-2015,18500
21-04-2015,18400
22-04-2015,18450
23-04-2015,18250
24-04-2015,18350
27-04-2015,18300
28-04-2015,18550
29-04-2015,18700
30-04-2015,18750
06-05-2015,18850
07-05-2015,18750
08-05-2015,18800
11-05-2015,18900
12-05-2015,18950
13-05-2015,19000
14-05-2015,19250
15-05-2015,19350
18-05-2015,19400
19-05-2015,19350
20-05-2015,19250
21-05-2015,19250
22-05-2015,19150
25-05-2015,19150
27-05-2015,19050
28-05-2015,19050
29-05-2015,19000
02-06-2015,19000
03-06-2015,19100
04-06-2015,18900
05-06-2015,18850
08-06-2015,18850
09-06-2015,18800
10-06-2015,18850
11-06-2015,18900
12-06-2015,18900
15-06-2015,18900
16-06-2015,18900
17-06-2015,18850
18-06-2015,18900
19-06-2015,19150
22-06-2015,19100
23-06-2015,18950
24-06-2015,18850
25-06-2015,18850
26-06-2015,18850
29-06-2015,18950
30-06-2015,18850
02-07-2015,18750
03-07-2015,18700
07-07-2015,18750
08-07-2015,18650
09-07-2015,18650
10-07-2015,18700
13-07-2015,18750
14-07-2015,18650
15-07-2015,18650
16-07-2015,18600
17-07-2015,18600
20-07-2015,18100
21-07-2015,18100
22-07-2015,18050
23-07-2015,18100
