Date,Dollar_Index,World_Gold_Price,Dow_Jones_Avg,Set_Index,Thai_Five_Bond,Thai_Ten_Bond,Oil_Price,Usd_Thb,Con_Index,Interest_Rate,Spx,Xag_Usd,Rhodium,Eur_Usd,Nyse,Bvn,Us_Five_Year,Us_Ten_Year,Copper,Palladium,Sales
ต.ค.23,106.66,"1,982.70","35,390.57","1,397.43",2.66,3.03,75.17,35.35,"4,559.34",24.33,"4,390",1.0941,"15,907.90",9.15,4.492,4.472,3.649,"1,075.50",107.72,2.5,"32,988.46"
ก.ย.23,106.22,"1,848.31","33,052.74","1,381.83",2.784,3.23,81.02,36.14,"4,193.80",22.9,"4,440",1.0576,"14,919.20",8.1,4.846,4.926,3.7375,"1,126.10",108.02,2.5,"32,413.46"
ส.ค.23,103.62,"1,939.74","33,507.76","1,471.43",2.81,3.17,90.79,36.51,"4,288.05",22.16,"4,090",1.057,"15,398.20",8.52,4.616,4.579,3.822,"1,256",108.41,2.25,"31,733.33"
ก.ค.23,101.86,"1,964.19","34,721.16","1,565.94",2.43,2.6,83.63,34.98,"4,507.66",24.44,"4,090",1.0841,"16,000.40",8.54,4.249,4.106,4.008,"1,225.20",107.82,2,"31,859.62"
มิ.ย.23,102.91,"1,919.57","35,559.53","1,556.06",2.4,2.57,81.8,34.21,"4,588.96",24.77,"4,090",1.0993,"16,427.30",7.72,4.184,3.967,3.7595,"1,275.60",107.83,2,"32,036.54"
พ.ค.23,104.33,"1,962.30","34,407.60","1,503.10",2.34,2.52,70.64,35.27,"4,450.38",22.75,"4,490",1.091,"15,875.90",7.35,4.157,3.841,3.637,"1,222",107.19,2,"32,157.41"
เม.ย.23,101.66,"1,989.65","32,908.27","1,533.54",2.26,2.56,68.09,34.64,"4,179.83",23.48,"6,890",1.0688,"14,887.10",6.81,3.758,3.646,3.8812,"1,359",107.96,1.75,"32,290.00"
มี.ค.23,102.51,"1,967.90","34,098.16","1,529.12",2.15,2.51,76.78,34.12,"4,169.48",25.04,"8,840",1.102,"15,545.90",7.07,3.498,3.433,4.0945,"1,496",107.76,1.75,"31,038.89"
ก.พ.23,104.87,"1,827.15","33,274.15","1,609.17",2.07,2.38,75.67,34.16,"4,109.31",24.07,"7,890",1.0839,"15,374.90",8.18,3.584,3.473,4.074,"1,478.50",108.05,1.5,"29,822.92"
ม.ค.23,102.1,"1,927.88","32,656.70","1,622.35",2.22,2.56,77.05,35.22,"3,970.15",20.91,"10,190",1.0576,"15,429.00",7.58,4.185,3.928,4.226,"1,420.90",108.18,1.5,"29,761.54"
