Date,Y,XAU_USD,Set,Oil,TenbondTHB,NYSE
29-05-2014,19500,1258.79,1404.92,103.06,3.66,10716.5
30-05-2014,19600,1256,1412.51,103.51,3.68,10734.5
02-06-2014,19450,1250.89,1424.81,102.92,3.73,10760.5
03-06-2014,19350,1244.39,1455.33,102.44,3.71,10752.4
04-06-2014,19300,1245.24,1456.06,102.79,3.68,10752.4
05-06-2014,19300,1243.8,1454.11,102.37,3.68,10788.5
06-06-2014,19400,1253.69,1461.8,102.44,3.655,10865.2
09-06-2014,19300,1253.79,1464.71,102.78,3.65,10895.4
10-06-2014,19300,1252.15,1454.4,104.46,3.67,10906.9
11-06-2014,19450,1260.49,1470.04,104.3,3.7,10886.3
12-06-2014,19450,1261.49,1461.3,104.47,3.68,10870.7
13-06-2014,19600,1273.69,1456.6,106.84,3.68,10836.7
16-06-2014,19650,1277.06,1460.29,106.88,3.73,10855.3
17-06-2014,19550,1271.65,1475.87,106.59,3.69,10849.6
18-06-2014,19600,1271.3,1471.86,106.6,3.74,10890.1
19-06-2014,19600,1278.44,1455.89,106.11,3.7,10992
20-06-2014,20150,1320.2,1464.86,106.6,3.71,11014
23-06-2014,20150,1313.7,1471.91,107.42,3.77,11017
24-06-2014,20250,1318.54,1466.69,106.02,3.76,10997.4
25-06-2014,20250,1318.74,1462.55,106.14,3.74,10902.7
26-06-2014,20250,1318.65,1472.5,106.71,3.755,10951.8
27-06-2014,20250,1317.91,1480.75,105.64,3.74,10934.8
30-06-2014,20250,1315.8,1488.92,105.69,3.71,10969.2
02-07-2014,20350,1325.58,1492.05,105.21,3.73,11044.7
03-07-2014,20350,1327.7,1492.87,104.27,3.74,11070.4
07-07-2014,20250,1320.16,1500.87,104.06,3.75,11072
08-07-2014,20250,1319.75,1506.01,103.39,3.74,11008.8
09-07-2014,20250,1319.69,1505.6,103.45,3.71,10977.9
10-07-2014,20300,1319.34,1513.25,101.95,3.69,10941.8
14-07-2014,20400,1338.45,1524.98,100.46,3.68,10980.2
15-07-2014,19950,1306.85,1533.29,100.93,3.67,10995.7
16-07-2014,19800,1294.4,1527.13,100.21,3.63,11006.4
17-07-2014,19850,1300.24,1529.11,101.49,3.59,10982.7
18-07-2014,20100,1318.7,1532.52,103.72,3.56,10908.4
21-07-2014,19950,1311.05,1536.73,102.97,3.59,10951.2
22-07-2014,19850,1311.89,1543.56,104.58,3.52,10988.9
23-07-2014,19750,1307.7,1527.35,101.96,3.5,11027.4
24-07-2014,19650,1304.14,1545.54,103.2,3.53,11038.9
25-07-2014,19550,1294,1545.59,102.04,3.58,11038.6
28-07-2014,19650,1308.25,1545.52,101.87,3.59,10984.4
29-07-2014,19700,1304.59,1541.27,101.6,3.56,11005.3
30-07-2014,19650,1298.94,1521.33,101.03,3.57,10958
31-07-2014,19650,1294.86,1513.92,99.47,3.55,10866.3
01-08-2014,19600,1282.24,1488.5,97.7,3.58,10699.8
04-08-2014,19700,1293.98,1504.35,97.67,3.57,10692.2
05-08-2014,19650,1287.91,1522.87,98.41,3.56,10728.9
06-08-2014,19700,1288.05,1527.11,97.62,3.55,10606.1
07-08-2014,19900,1305.89,1525.06,96.89,3.45,10677
08-08-2014,20100,1313.5,1512.82,97.64,3.42,10591.1
13-08-2014,19900,1308.69,1530.96,97.2,3.44,10731.9
14-08-2014,19850,1312.86,1550.83,97.3,3.43,10756.3
15-08-2014,19850,1312.95,1543.42,95.5,3.44,10833.5
18-08-2014,19650,1303.91,1548.42,97.1,3.43,10824.3
19-08-2014,19650,1297.65,1550.55,96.56,3.44,10901
20-08-2014,19600,1295.6,1546.57,94.7,3.47,10909.3
21-08-2014,19600,1291.8,1550.26,93.49,3.52,10958.1
22-08-2014,19400,1276.64,1556.4,93.89,3.51,10973
25-08-2014,19450,1279.67,1561.4,93.34,3.5,10976.7
26-08-2014,19350,1276.55,1565.48,93.36,3.5,11016.4
27-08-2014,19450,1281.09,1564.41,93.88,3.49,11042.1
28-08-2014,19450,1282.75,1566.73,93.75,3.49,10999.7
29-08-2014,19550,1290.29,1554.9,94.56,3.48,11023.8
02-09-2014,19500,1287.59,1568.71,95.81,3.48,11050.6
03-09-2014,19350,1266.14,1574.19,93.28,3.52,11081.8
04-09-2014,19350,1268.8,1585.6,95.07,3.51,11070.2
05-09-2014,19250,1260.96,1583.47,94.57,3.53,11019.9
08-09-2014,19250,1268.75,1589.39,93.49,3.5,11059.2
09-09-2014,19150,1255.43,1586.88,93.11,3.46,10994.1
10-09-2014,19150,1256.19,1577.26,92.79,3.5,10946.7
11-09-2014,19050,1248.68,1582.21,91.71,3.49,10933.4
12-09-2014,18850,1240.59,1583.38,93.05,3.49,10965.3
15-09-2014,18850,1228.4,1577.71,92.13,3.48,10909.9
16-09-2014,18950,1233.1,1583.74,92.81,3.51,10890.5
17-09-2014,18950,1234.95,1571.9,94.71,3.51,10993.2
18-09-2014,18800,1223.2,1576.88,93.97,3.52,10998.4
19-09-2014,18750,1225.5,1590.68,92.97,3.5,11046.4
22-09-2014,18550,1216.54,1584.26,92.22,3.48,10978.6
23-09-2014,18650,1215.3,1593.16,90.7,3.45,10861.2
24-09-2014,18700,1222.81,1593.42,91.72,3.45,10818.8
25-09-2014,18600,1217.02,1595.6,92.89,3.46,10863.6
26-09-2014,18750,1222.59,1591.02,92.47,3.43,10732.3
29-09-2014,18700,1219.2,1601.38,93.35,3.43,10727.8
30-09-2014,18700,1216.24,1586.18,94.34,3.38,10745
01-10-2014,18500,1209,1590.13,91.36,3.36,10688.6
02-10-2014,18600,1213.34,1582.21,90.74,3.31,10557.3
03-10-2014,18600,1213.84,1568.18,91.38,3.34,10579.5
06-10-2014,18300,1191.79,1572.31,89.77,3.39,10671.7
07-10-2014,18550,1207.15,1544.87,90.45,3.35,10605.3
08-10-2014,18700,1209.39,1529.18,88.43,3.3,10485.8
09-10-2014,18750,1221.84,1553.65,87.73,3.29,10615
10-10-2014,18700,1224.49,1545.77,84.39,3.24,10397.4
13-10-2014,18850,1223.54,1544.66,85.2,3.24,10317.5
14-10-2014,18850,1237.08,1544.65,84.98,3.18,10194
15-10-2014,18850,1233.65,1550.69,82.32,3.16,10083.9
16-10-2014,19000,1241.67,1540.9,81.06,3.3,10004.8
17-10-2014,18950,1239.69,1529.36,83.18,3.31,10212.9
20-10-2014,18900,1238.54,1541.1,83.13,3.35,10227.2
21-10-2014,18950,1246.99,1529.73,82.76,3.34,10370.7
22-10-2014,19000,1249.57,1534.03,82.55,3.31,10502.1
24-10-2014,18850,1232.59,1537.99,81.95,3.32,10529.3
27-10-2014,18800,1231.5,1542.69,81.27,3.32,10547.7
28-10-2014,18850,1225.76,1549.06,80.64,3.36,10576.9
29-10-2014,18850,1228.21,1564.51,81.55,3.39,10690.3
30-10-2014,18650,1211.5,1565.86,81.93,3.4,10626.1
31-10-2014,18400,1198.91,1570.97,81.04,3.4,10772.9
03-11-2014,18000,1173.76,1591.02,80.59,3.36,10834.4
04-11-2014,18000,1165.55,1583.55,78.22,3.26,10781.1
05-11-2014,18000,1168.19,1585.84,77.36,3.22,10804
06-11-2014,17750,1141.45,1581.32,78.87,3.18,10824.1
07-11-2014,17750,1141.2,1585.1,77.86,3.23,10837.8
10-11-2014,18150,1179.41,1581.77,78.5,3.22,10876.9
11-11-2014,17900,1150.65,1569,77.18,3.17,10892.5
12-11-2014,18050,1164.67,1572.45,77.5,3.15,10907.5
13-11-2014,18000,1160.84,1561.89,76.95,3.11,10884.1
14-11-2014,18000,1162.09,1580.41,74.36,3.12,10861.5
17-11-2014,18350,1188.75,1576.41,75.93,3.14,10859.8
18-11-2014,18300,1186.42,1571.81,75.49,3.09,10896.6
19-11-2014,18450,1197.57,1585.14,74.23,3.09,10938.6
20-11-2014,18300,1183.36,1579.51,74.25,3.1,10888.1
21-11-2014,18450,1193.78,1568.56,76.29,3.09,10938
24-11-2014,18550,1201.53,1587.35,76.62,3.12,11038.9
25-11-2014,18550,1197.55,1591.23,75.51,3.1,11053.3
26-11-2014,18550,1200.96,1596.29,73.87,3.12,11036.8
28-11-2014,18500,1190.7,1596.49,73.5,3.12,10993.1
01-12-2014,18000,1167.06,1590.89,66,3.08,10933.1
02-12-2014,18750,1210.74,1596.71,69.24,3.04,10888.4
03-12-2014,18700,1199.01,1597.33,67.6,3.05,10942.7
04-12-2014,18800,1209.7,1597.03,67.4,3.06,10966.9
08-12-2014,18700,1193.09,1600.99,65.46,3.04,10941.6
09-12-2014,18800,1203.64,1573.89,63.01,3.06,10863.6
11-12-2014,19100,1226.75,1546.18,61.12,3.02,10671.1
12-12-2014,19050,1227.99,1523.53,59.17,2.99,10690.1
15-12-2014,18950,1222.25,1490.44,57.07,2.97,10535.5
16-12-2014,18750,1192.59,1442.82,55.4,3.01,10386.1
17-12-2014,18750,1196.69,1464.64,55.5,3.07,10411.5
18-12-2014,18650,1188.7,1504.72,55.83,3.13,10709.5
19-12-2014,18700,1198.55,1527.08,55.5,3.06,10835.3
22-12-2014,18650,1195.33,1522.49,57.75,3.07,10890.2
23-12-2014,18400,1175.03,1535.22,55.39,3.09,10935.7
24-12-2014,18400,1175.7,1536.24,56.8,3.07,10962.2
26-12-2014,18450,1173.45,1503.49,55.86,3.06,10975.3
29-12-2014,18650,1195.71,1515.49,55.05,3.05,10974.9
30-12-2014,18550,1183.37,1496.89,53.72,3.02,10963.5
05-01-2015,18550,1189.34,1499.7,52.61,2.91,10764.4
06-01-2015,18700,1204.85,1467.97,50,2.73,10610.8
07-01-2015,18850,1219.55,1478.84,48,2.72,10514.5
08-01-2015,18800,1210.51,1514.9,48.78,2.75,10686
09-01-2015,18750,1209.65,1529.5,48.92,2.75,10811.8
12-01-2015,18950,1223,1527.42,48.19,2.74,10712.6
13-01-2015,19100,1233.62,1520.71,45.69,2.72,10640.7
14-01-2015,19050,1230.76,1539.58,46.16,2.69,10622.6
15-01-2015,19000,1229.95,1528.83,48.6,2.68,10606.6
16-01-2015,19400,1262.05,1515.71,46.35,2.69,10508.6
20-01-2015,19800,1276.54,1539.46,48.69,2.72,10682
21-01-2015,19950,1293.64,1538.31,46.69,2.82,10646
22-01-2015,19850,1293.2,1546.76,47.35,2.81,10753.6
23-01-2015,19950,1301.38,1570.81,46.63,2.79,10854.2
26-01-2015,19900,1293.68,1602.13,45.2,2.76,10787.3
27-01-2015,19650,1281.08,1589.44,45.13,2.73,10793
28-01-2015,19850,1292.35,1594.5,45.83,2.72,10797.2
29-01-2015,19700,1285.35,1591.94,44.43,2.79,10617.9
30-01-2015,19500,1257.61,1591.54,44.63,2.74,10636
02-02-2015,19850,1281.81,1577.65,47.59,2.77,10568
03-02-2015,19650,1275.4,1592.08,49.79,2.74,10721.6
04-02-2015,19500,1260.25,1616.41,51.67,2.74,10803.5
05-02-2015,19650,1269.9,1595.06,48.67,2.77,10821.4
06-02-2015,19550,1264.82,1614.47,50.86,2.76,10903.3
09-02-2015,19200,1235.18,1609.78,52.01,2.78,10831
10-02-2015,19200,1239.55,1600.57,52.43,2.79,10860.7
11-02-2015,19150,1233.75,1599.42,50.98,2.79,10883.9
12-02-2015,18950,1218.73,1606.06,49.42,2.82,10924.2
13-02-2015,19000,1222.38,1616.79,51.35,2.9,11009.9
17-02-2015,19050,1231.05,1607.32,52.75,3,11042.8
18-02-2015,18700,1209.41,1590.71,53.24,2.96,11054.5
19-02-2015,18800,1212.7,1603.22,50.55,2.98,11027
20-02-2015,18700,1207.41,1604.56,51.24,2.99,11025.3
23-02-2015,18600,1201.89,1608.53,50.75,2.97,11091.5
24-02-2015,18600,1201.71,1597,49.42,2.97,11082.1
25-02-2015,18650,1199.55,1602.16,49.16,2.97,11119.6
26-02-2015,18650,1205.16,1590.29,51,2.93,11111.8
27-02-2015,18600,1209.45,1590.93,48.97,2.9,11078.5
02-03-2015,18750,1213.8,1588.14,49.45,2.71,11053.7
03-03-2015,18400,1207.19,1580.36,49.8,2.63,11090.8
05-03-2015,18500,1199.75,1559.4,51.62,2.68,11014.7
06-03-2015,18450,1198.65,1553.05,50.89,2.66,10964.2
09-03-2015,18100,1168.65,1558.54,49.6,2.65,10846
10-03-2015,18100,1167.1,1560.94,50.08,2.73,10802.5
11-03-2015,18050,1162.15,1524.38,48.77,2.82,10686.6
12-03-2015,18000,1154.6,1543.06,48.44,2.77,10734.7
13-03-2015,18050,1153.9,1547.68,46.93,2.69,10784.1
16-03-2015,18100,1158.5,1534.47,44.81,2.83,10787.5
17-03-2015,18050,1154.55,1525.5,43.84,2.83,10843.7
18-03-2015,18000,1149.25,1513.99,42.51,2.74,10846.4
19-03-2015,18200,1167.25,1543.63,44.6,2.82,10976.8
20-03-2015,18200,1170.7,1533.91,43.99,2.83,10932.5
23-03-2015,18300,1185.96,1535.86,46.41,2.74,11089.7
24-03-2015,18300,1189.35,1518.47,47.46,2.81,11072
25-03-2015,18350,1192.9,1514.04,47.72,2.75,11037
26-03-2015,18500,1195.55,1506.08,49.02,2.75,10877.2
27-03-2015,18550,1204.25,1494.22,51.01,2.72,10860.6
30-03-2015,18500,1198.85,1501.08,48.57,2.78,10919
31-03-2015,18350,1185.4,1502.25,48.73,2.77,10914
01-04-2015,18350,1183.35,1506.35,47.55,2.69,10906.1
02-04-2015,18500,1204.95,1530.84,49.59,2.73,10897.7
07-04-2015,18700,1214.69,1545.21,51.95,2.73,11042
08-04-2015,18650,1208.85,1553.11,53.18,2.74,11038.5
09-04-2015,18500,1203.07,1545.86,51,2.66,11028.8
10-04-2015,18450,1194.3,1547.92,50.73,2.675,11077.7
16-04-2015,18550,1202.45,1560.86,55.92,2.74,11171.5
17-04-2015,18450,1198.6,1572.88,56.56,2.65,11113.5
20-04-2015,18500,1204.9,1565.67,56.16,2.73,11058.5
21-04-2015,18400,1196.81,1566.35,56.41,2.66,11115.8
