Buddhist,Date,Gold_Thai,Copper,Rhodium,SP,US_Five,US_Ten,DJI,Set,GBP_THB,JPY_THB,USD_THB,,,,,,,
28-12-66,12-28-23,"33,700.00",3.9125,"4,415.00","4,782.88",3.838,3.844,"37,701.63","1,935.13",43.632,0.2437,34.27,,,,,,,
27-12-66,12-27-23,"33,650.00",3.956,"4,415.00","4,786.44",3.797,3.8,"37,661.52","1,943.01",43.939,0.2425,34.35,,,,,,,
26-12-66,12-26-23,"33,700.00",3.902,"4,415.00","4,773.45",3.896,3.9,"37,518.62","1,934.81",43.957,0.2424,34.56,,,,,,,
25-12-66,12-25-23,"33,600.00",3.905,"4,415.00","4,758.86",3.881,3.901,"37,405.90","1,929.47",43.924,0.242,34.61,,,,,,,
23-12-66,12-23-23,"33,550.00",3.901,"4,415.00","4,753.92",3.882,3.905,"37,349.27","1,932.66",43.947,0.243,34.6,,,,,,,
22-12-66,12-22-23,"33,550.00",3.925,"4,415.00","4,724.29",3.872,3.888,"37,264.53","1,915.79",44.151,0.2432,34.8,,,,,,,
21-12-66,12-21-23,"33,600.00",3.8845,"4,415.00","4,764.73",3.86,3.864,"37,520.13","1,923.30",44.211,0.2432,34.99,,,,,,,
20-12-66,12-20-23,"33,550.00",3.9075,"4,415.00","4,743.72",3.929,3.924,"37,311.82","1,917.71",44.355,0.2444,34.84,,,,,,,
13-1-66,01-13-23,"29,700.00",3.848,"4,390.00","4,725.58",3.926,3.93,"37,323.65","1,903.88",44.22,0.2438,34.98,,,,,,,
14-1-66,01-14-23,"29,750.00",3.883,"4,390.00","4,714.23",3.921,3.931,"37,194.50","1,900.63",44.235,0.2422,34.89,,,,,,,
16-1-66,01-16-23,"29,750.00",3.874,"4,390.00","4,721.04",3.913,3.93,"37,115.63","1,879.76",44.529,0.2449,34.88,,,,,,,
17-1-66,01-17-23,"29,900.00",3.835,"4,390.00","4,646.20",3.969,4.016,"36,580.03","1,877.01",44.54,0.2452,35.34,,,,,,,
18-1-66,01-18-23,"29,750.00",3.7925,"4,390.00","4,618.30",4.22,4.202,"36,442.10","1,894.51",44.85,0.2454,35.7,,,,,,,
19-12-66,12-19-23,"33,450.00",3.785,"4,390.00","4,593.39",4.25,4.239,"36,274.85","1,890.08",44.874,0.2451,35.75,,,,,,,
18-12-66,12-18-23,"33,350.00",3.8305,"4,390.00","4,576.20",4.252,4.241,"36,084.82","1,891.25",44.567,0.246,35.54,,,,,,,
16-12-66,12-16-23,"33,300.00",3.798,"4,390.00","4,568.84",4.133,4.153,"36,124.17","1,894.83",44.23,0.2457,35.14,,,,,,,
15-12-66,12-15-23,"33,500.00",3.7315,"4,390.00","4,586.23",4.105,4.11,"36,183.73","1,883.33",44.161,0.2444,35.16,,,,,,,
14-12-66,12-14-23,"33,700.00",3.786,"4,390.00","4,557.25",4.144,4.173,"36,097.44","1,891.07",44.367,0.2444,35.24,,,,,,,
13-12-66,12-13-23,"33,450.00",3.827,"4,390.00","4,564.37",4.208,4.255,"36,039.24","1,903.87",44.531,0.2446,35.25,,,,,,,
12-12-66,12-12-23,"33,400.00",3.9215,"4,490.00","4,559.43",4.158,4.22,"35,914.45","1,925.45",44.347,0.2435,34.91,,,,,,,
11-12-66,12-11-23,"33,700.00",3.855,"4,490.00","4,554.87",4.256,4.321,"35,596.57","1,916.97",44.588,0.2393,35.29,,,,,,,
9-12-66,12-09-23,"33,650.00",3.835,"4,490.00","4,571.84",4.219,4.267,"35,436.80","1,904.00",44.223,0.2396,34.83,,,,,,,
8-12-66,12-08-23,"33,750.00",3.85,"4,490.00","4,545.55",4.272,4.319,"35,332.13","1,924.10",44.113,0.2392,34.77,,,,,,,
7-12-66,12-07-23,"33,700.00",3.793,"4,390.00","4,554.86",4.396,4.402,"35,376.44","1,937.49",44.296,0.2403,35.065,,,,,,,
