Date,Y_Date,Y
29-05-2014,29-05-2014,19500.0
30-05-2014,30-05-2014,19600.0
06-02-2014,02-06-2014,19450.0
06-03-2014,03-06-2014,19350.0
06-04-2014,04-06-2014,19300.0
06-05-2014,05-06-2014,19300.0
06-06-2014,06-06-2014,19400.0
06-09-2014,09-06-2014,19300.0
06-10-2014,10-06-2014,19300.0
06-11-2014,11-06-2014,19450.0
06-12-2014,12-06-2014,19450.0
13-06-2014,13-06-2014,19600.0
16-06-2014,16-06-2014,19650.0
17-06-2014,17-06-2014,19550.0
18-06-2014,18-06-2014,19600.0
19-06-2014,19-06-2014,19600.0
20-06-2014,20-06-2014,20150.0
23-06-2014,23-06-2014,20150.0
24-06-2014,24-06-2014,20250.0
25-06-2014,25-06-2014,20250.0
26-06-2014,26-06-2014,20250.0
27-06-2014,27-06-2014,20250.0
30-06-2014,30-06-2014,20250.0
07-02-2014,02-07-2014,20350.0
07-03-2014,03-07-2014,20350.0
07-07-2014,04-07-2014,20250.0
07-08-2014,08-07-2014,20250.0
07-09-2014,09-07-2014,20250.0
07-10-2014,10-07-2014,20300.0
14-07-2014,14-07-2014,20400.0
15-07-2014,15-07-2014,19950.0
16-07-2014,16-07-2014,19800.0
17-07-2014,17-07-2014,19850.0
18-07-2014,18-07-2014,20100.0
21-07-2014,21-07-2014,19950.0
22-07-2014,22-07-2014,19850.0
23-07-2014,23-07-2014,19750.0
24-07-2014,24-07-2014,19650.0
25-07-2014,25-07-2014,19550.0
28-07-2014,28-07-2014,19650.0
29-07-2014,29-07-2014,19700.0
30-07-2014,30-07-2014,19650.0
31-07-2014,31-07-2014,19650.0
08-01-2014,01-08-2014,19600.0
08-04-2014,04-08-2014,19700.0
08-05-2014,05-08-2014,19650.0
08-06-2014,06-08-2014,19700.0
08-07-2014,07-08-2014,19900.0
08-08-2014,08-08-2014,20100.0
13-08-2014,13-08-2014,19900.0
14-08-2014,14-08-2014,19850.0
15-08-2014,15-08-2014,19850.0
18-08-2014,18-08-2014,19650.0
19-08-2014,19-08-2014,19650.0
20-08-2014,20-08-2014,19600.0
21-08-2014,21-08-2014,19600.0
22-08-2014,22-08-2014,19400.0
25-08-2014,25-08-2014,19450.0
26-08-2014,26-08-2014,19350.0
27-08-2014,27-08-2014,19450.0
28-08-2014,28-08-2014,19450.0
29-08-2014,29-08-2014,19550.0
09-02-2014,01-09-2014,19500.0
09-03-2014,03-09-2014,19350.0
09-04-2014,04-09-2014,19350.0
09-05-2014,05-09-2014,19250.0
09-08-2014,08-09-2014,19250.0
09-09-2014,09-09-2014,19150.0
09-10-2014,10-09-2014,19150.0
09-11-2014,11-09-2014,19050.0
09-12-2014,12-09-2014,18850.0
15-09-2014,15-09-2014,18850.0
16-09-2014,16-09-2014,18950.0
17-09-2014,17-09-2014,18950.0
18-09-2014,18-09-2014,18800.0
19-09-2014,19-09-2014,18750.0
22-09-2014,22-09-2014,18550.0
23-09-2014,23-09-2014,18650.0
24-09-2014,24-09-2014,18700.0
25-09-2014,25-09-2014,18600.0
26-09-2014,26-09-2014,18750.0
29-09-2014,29-09-2014,18700.0
30-09-2014,30-09-2014,18700.0
10-01-2014,01-10-2014,18500.0
10-02-2014,02-10-2014,18600.0
10-03-2014,03-10-2014,18600.0
10-06-2014,06-10-2014,18300.0
10-07-2014,07-10-2014,18550.0
10-08-2014,08-10-2014,18700.0
10-09-2014,09-10-2014,18750.0
10-10-2014,10-10-2014,18700.0
13-10-2014,13-10-2014,18850.0
14-10-2014,14-10-2014,18850.0
15-10-2014,15-10-2014,18850.0
16-10-2014,16-10-2014,19000.0
17-10-2014,17-10-2014,18950.0
20-10-2014,20-10-2014,18900.0
21-10-2014,21-10-2014,18950.0
22-10-2014,22-10-2014,19000.0
24-10-2014,24-10-2014,18850.0
27-10-2014,27-10-2014,18800.0
28-10-2014,28-10-2014,18850.0
29-10-2014,29-10-2014,18850.0
30-10-2014,30-10-2014,18650.0
31-10-2014,31-10-2014,18400.0
11-03-2014,03-11-2014,18000.0
11-04-2014,04-11-2014,18000.0
11-05-2014,05-11-2014,18000.0
11-06-2014,06-11-2014,17750.0
11-07-2014,07-11-2014,17750.0
11-10-2014,10-11-2014,18150.0
11-11-2014,11-11-2014,17900.0
11-12-2014,12-11-2014,18050.0
13-11-2014,13-11-2014,18000.0
14-11-2014,14-11-2014,18000.0
17-11-2014,17-11-2014,18350.0
18-11-2014,18-11-2014,18300.0
19-11-2014,19-11-2014,18450.0
20-11-2014,20-11-2014,18300.0
21-11-2014,21-11-2014,18450.0
24-11-2014,24-11-2014,18550.0
25-11-2014,25-11-2014,18550.0
26-11-2014,26-11-2014,18550.0
28-11-2014,27-11-2014,18500.0
12-01-2014,01-12-2014,18000.0
12-02-2014,02-12-2014,18750.0
12-03-2014,03-12-2014,18700.0
12-04-2014,04-12-2014,18800.0
12-08-2014,08-12-2014,18700.0
12-09-2014,09-12-2014,18800.0
12-11-2014,11-12-2014,19100.0
12-12-2014,12-12-2014,19050.0
15-12-2014,15-12-2014,18950.0
16-12-2014,16-12-2014,18750.0
17-12-2014,17-12-2014,18750.0
18-12-2014,18-12-2014,18650.0
19-12-2014,19-12-2014,18700.0
22-12-2014,22-12-2014,18650.0
23-12-2014,23-12-2014,18400.0
24-12-2014,24-12-2014,18400.0
26-12-2014,26-12-2014,18450.0
29-12-2014,29-12-2014,18650.0
30-12-2014,30-12-2014,18550.0
01-05-2015,05-01-2015,18550.0
01-06-2015,06-01-2015,18700.0
01-07-2015,07-01-2015,18850.0
01-08-2015,08-01-2015,18800.0
01-09-2015,09-01-2015,18750.0
01-12-2015,12-01-2015,18950.0
13-01-2015,13-01-2015,19100.0
14-01-2015,14-01-2015,19050.0
15-01-2015,15-01-2015,19000.0
16-01-2015,16-01-2015,19400.0
20-01-2015,19-01-2015,19600.0
21-01-2015,21-01-2015,19950.0
22-01-2015,22-01-2015,19850.0
23-01-2015,23-01-2015,19950.0
26-01-2015,26-01-2015,19900.0
27-01-2015,27-01-2015,19650.0
28-01-2015,28-01-2015,19850.0
29-01-2015,29-01-2015,19700.0
30-01-2015,30-01-2015,19500.0
02-02-2015,02-02-2015,19850.0
02-03-2015,03-02-2015,19650.0
02-04-2015,04-02-2015,19500.0
02-05-2015,05-02-2015,19650.0
02-06-2015,06-02-2015,19550.0
02-09-2015,09-02-2015,19200.0
02-10-2015,10-02-2015,19200.0
02-11-2015,11-02-2015,19150.0
02-12-2015,12-02-2015,18950.0
13-02-2015,13-02-2015,19000.0
17-02-2015,16-02-2015,19050.0
18-02-2015,18-02-2015,18700.0
19-02-2015,19-02-2015,18800.0
20-02-2015,20-02-2015,18700.0
23-02-2015,23-02-2015,18600.0
24-02-2015,24-02-2015,18600.0
25-02-2015,25-02-2015,18650.0
26-02-2015,26-02-2015,18650.0
27-02-2015,27-02-2015,18600.0
03-02-2015,02-03-2015,18750.0
03-03-2015,03-03-2015,18400.0
03-05-2015,05-03-2015,18500.0
03-06-2015,06-03-2015,18450.0
03-09-2015,09-03-2015,18100.0
03-10-2015,10-03-2015,18100.0
03-11-2015,11-03-2015,18050.0
03-12-2015,12-03-2015,18000.0
13-03-2015,13-03-2015,18050.0
16-03-2015,16-03-2015,18100.0
17-03-2015,17-03-2015,18050.0
18-03-2015,18-03-2015,18000.0
19-03-2015,19-03-2015,18200.0
20-03-2015,20-03-2015,18200.0
23-03-2015,23-03-2015,18300.0
24-03-2015,24-03-2015,18300.0
25-03-2015,25-03-2015,18350.0
26-03-2015,26-03-2015,18500.0
27-03-2015,27-03-2015,18550.0
30-03-2015,30-03-2015,18500.0
31-03-2015,31-03-2015,18350.0
04-01-2015,01-04-2015,18350.0
04-02-2015,02-04-2015,18500.0
04-07-2015,07-04-2015,18700.0
04-08-2015,08-04-2015,18650.0
04-09-2015,09-04-2015,18500.0
04-10-2015,10-04-2015,18450.0
16-04-2015,16-04-2015,18550.0
17-04-2015,17-04-2015,18450.0
20-04-2015,20-04-2015,18500.0
21-04-2015,21-04-2015,18400.0
22-04-2015,22-04-2015,18450.0
23-04-2015,23-04-2015,18250.0
24-04-2015,24-04-2015,18350.0
27-04-2015,27-04-2015,18300.0
28-04-2015,28-04-2015,18550.0
29-04-2015,29-04-2015,18700.0
30-04-2015,30-04-2015,18750.0
05-06-2015,06-05-2015,18850.0
05-07-2015,07-05-2015,18750.0
05-08-2015,08-05-2015,18800.0
05-11-2015,11-05-2015,18900.0
05-12-2015,12-05-2015,18950.0
13-05-2015,13-05-2015,19000.0
14-05-2015,14-05-2015,19250.0
15-05-2015,15-05-2015,19350.0
18-05-2015,18-05-2015,19400.0
19-05-2015,19-05-2015,19350.0
20-05-2015,20-05-2015,19250.0
21-05-2015,21-05-2015,19250.0
22-05-2015,22-05-2015,19150.0
26-05-2015,25-05-2015,19150.0
27-05-2015,27-05-2015,19050.0
28-05-2015,28-05-2015,19050.0
29-05-2015,29-05-2015,19000.0
06-02-2015,02-06-2015,19000.0
06-03-2015,03-06-2015,19100.0
06-04-2015,04-06-2015,18900.0
06-05-2015,05-06-2015,18850.0
06-08-2015,08-06-2015,18850.0
06-09-2015,09-06-2015,18800.0
06-10-2015,10-06-2015,18850.0
06-11-2015,11-06-2015,18900.0
06-12-2015,12-06-2015,18900.0
15-06-2015,15-06-2015,18900.0
16-06-2015,16-06-2015,18900.0
17-06-2015,17-06-2015,18850.0
18-06-2015,18-06-2015,18900.0
19-06-2015,19-06-2015,19150.0
22-06-2015,22-06-2015,19100.0
23-06-2015,23-06-2015,18950.0
24-06-2015,24-06-2015,18850.0
25-06-2015,25-06-2015,18850.0
26-06-2015,26-06-2015,18850.0
29-06-2015,29-06-2015,18950.0
30-06-2015,30-06-2015,18850.0
07-02-2015,02-07-2015,18750.0
07-06-2015,03-07-2015,18700.0
07-07-2015,07-07-2015,18750.0
07-08-2015,08-07-2015,18650.0
