Y_Date,Y
2014-05-29,19500
2014-05-30,19600
2014-06-02,19450
2014-06-03,19350
2014-06-04,19300
2014-06-05,19300
2014-06-06,19400
2014-06-09,19300
2014-06-10,19300
2014-06-11,19450
2014-06-12,19450
2014-06-13,19600
2014-06-16,19650
2014-06-17,19550
2014-06-18,19600
2014-06-19,19600
2014-06-20,20150
2014-06-23,20150
2014-06-24,20250
2014-06-25,20250
2014-06-26,20250
2014-06-27,20250
2014-06-30,20250
2014-07-02,20350
2014-07-03,20350
2014-07-04,20250
2014-07-08,20250
2014-07-09,20250
2014-07-10,20300
2014-07-14,20400
2014-07-15,19950
2014-07-16,19800
2014-07-17,19850
2014-07-18,20100
2014-07-21,19950
2014-07-22,19850
2014-07-23,19750
2014-07-24,19650
2014-07-25,19550
2014-07-28,19650
2014-07-29,19700
2014-07-30,19650
2014-07-31,19650
2014-08-01,19600
2014-08-04,19700
2014-08-05,19650
2014-08-06,19700
2014-08-07,19900
2014-08-08,20100
2014-08-13,19900
2014-08-14,19850
2014-08-15,19850
2014-08-18,19650
2014-08-19,19650
2014-08-20,19600
2014-08-21,19600
2014-08-22,19400
2014-08-25,19450
2014-08-26,19350
2014-08-27,19450
2014-08-28,19450
2014-08-29,19550
2014-09-01,19500
2014-09-03,19350
2014-09-04,19350
2014-09-05,19250
2014-09-08,19250
2014-09-09,19150
2014-09-10,19150
2014-09-11,19050
2014-09-12,18850
2014-09-15,18850
2014-09-16,18950
2014-09-17,18950
2014-09-18,18800
2014-09-19,18750
2014-09-22,18550
2014-09-23,18650
2014-09-24,18700
2014-09-25,18600
2014-09-26,18750
2014-09-29,18700
2014-09-30,18700
2014-10-01,18500
2014-10-02,18600
2014-10-03,18600
2014-10-06,18300
2014-10-07,18550
2014-10-08,18700
2014-10-09,18750
2014-10-10,18700
2014-10-13,18850
2014-10-14,18850
2014-10-15,18850
2014-10-16,19000
2014-10-17,18950
2014-10-20,18900
2014-10-21,18950
2014-10-22,19000
2014-10-24,18850
2014-10-27,18800
2014-10-28,18850
2014-10-29,18850
2014-10-30,18650
2014-10-31,18400
2014-11-03,18000
2014-11-04,18000
2014-11-05,18000
2014-11-06,17750
2014-11-07,17750
2014-11-10,18150
2014-11-11,17900
2014-11-12,18050
2014-11-13,18000
2014-11-14,18000
2014-11-17,18350
2014-11-18,18300
2014-11-19,18450
2014-11-20,18300
2014-11-21,18450
2014-11-24,18550
2014-11-25,18550
2014-11-26,18550
2014-11-27,18500
2014-12-01,18000
2014-12-02,18750
2014-12-03,18700
2014-12-04,18800
2014-12-08,18700
2014-12-09,18800
2014-12-11,19100
2014-12-12,19050
2014-12-15,18950
2014-12-16,18750
2014-12-17,18750
2014-12-18,18650
2014-12-19,18700
2014-12-22,18650
2014-12-23,18400
2014-12-24,18400
2014-12-26,18450
2014-12-29,18650
2014-12-30,18550
2015-01-05,18550
2015-01-06,18700
2015-01-07,18850
2015-01-08,18800
2015-01-09,18750
2015-01-12,18950
2015-01-13,19100
2015-01-14,19050
2015-01-15,19000
2015-01-16,19400
2015-01-19,19600
2015-01-21,19950
2015-01-22,19850
2015-01-23,19950
2015-01-26,19900
2015-01-27,19650
2015-01-28,19850
2015-01-29,19700
2015-01-30,19500
2015-02-02,19850
2015-02-03,19650
2015-02-04,19500
2015-02-05,19650
2015-02-06,19550
2015-02-09,19200
2015-02-10,19200
2015-02-11,19150
2015-02-12,18950
2015-02-13,19000
2015-02-16,19050
2015-02-18,18700
2015-02-19,18800
2015-02-20,18700
2015-02-23,18600
2015-02-24,18600
2015-02-25,18650
2015-02-26,18650
2015-02-27,18600
2015-03-02,18750
2015-03-03,18400
2015-03-05,18500
2015-03-06,18450
2015-03-09,18100
2015-03-10,18100
2015-03-11,18050
2015-03-12,18000
2015-03-13,18050
2015-03-16,18100
2015-03-17,18050
2015-03-18,18000
2015-03-19,18200
2015-03-20,18200
2015-03-23,18300
2015-03-24,18300
2015-03-25,18350
2015-03-26,18500
2015-03-27,18550
2015-03-30,18500
2015-03-31,18350
2015-04-01,18350
2015-04-02,18500
2015-04-07,18700
2015-04-08,18650
2015-04-09,18500
2015-04-10,18450
2015-04-16,18550
2015-04-17,18450
2015-04-20,18500
2015-04-21,18400
2015-04-22,18450
2015-04-23,18250
2015-04-24,18350
2015-04-27,18300
2015-04-28,18550
2015-04-29,18700
2015-04-30,18750
2015-05-06,18850
2015-05-07,18750
2015-05-08,18800
2015-05-11,18900
2015-05-12,18950
2015-05-13,19000
2015-05-14,19250
2015-05-15,19350
2015-05-18,19400
2015-05-19,19350
2015-05-20,19250
2015-05-21,19250
2015-05-22,19150
2015-05-25,19150
2015-05-27,19050
2015-05-28,19050
2015-05-29,19000
2015-06-02,19000
2015-06-03,19100
2015-06-04,18900
2015-06-05,18850
2015-06-08,18850
2015-06-09,18800
2015-06-10,18850
2015-06-11,18900
2015-06-12,18900
2015-06-15,18900
2015-06-16,18900
2015-06-17,18850
2015-06-18,18900
2015-06-19,19150
2015-06-22,19100
2015-06-23,18950
2015-06-24,18850
2015-06-25,18850
2015-06-26,18850
2015-06-29,18950
2015-06-30,18850
2015-07-02,18750
2015-07-03,18700
2015-07-07,18750
2015-07-08,18650
2015-07-09,18650
2015-07-10,18700
2015-07-13,18750
2015-07-14,18650
2015-07-15,18650
2015-07-16,18600
2015-07-17,18600
2015-07-20,18100
2015-07-21,18100
2015-07-22,18050
2015-07-23,18100
2015-07-24,17900
2015-07-27,18150
2015-07-28,18100
2015-07-29,18150
2015-07-31,18100
2015-08-03,18200
2015-08-04,18100
2015-08-05,18100
2015-08-06,18100
2015-08-07,18150
2015-08-10,18200
2015-08-11,18400
2015-08-13,18700
2015-08-14,18600
2015-08-17,18650
2015-08-18,18800
2015-08-19,18850
2015-08-20,19100
2015-08-21,19600
2015-08-24,19650
2015-08-25,19500
2015-08-26,19200
2015-08-27,19050
2015-08-28,19100
2015-08-31,19250
2015-09-01,19300
2015-09-02,19300
2015-09-03,19250
2015-09-04,19100
2015-09-07,19150
2015-09-09,19150
2015-09-10,19000
2015-09-11,19000
2015-09-14,18950
2015-09-15,18900
2015-09-16,18850
2015-09-17,19050
2015-09-18,19150
2015-09-21,19250
2015-09-22,19300
2015-09-23,19200
2015-09-24,19450
2015-09-25,19750
2015-09-28,19650
2015-09-29,19550
2015-09-30,19400
2015-10-01,19250
2015-10-02,19300
2015-10-05,19600
2015-10-06,19550
2015-10-07,19700
2015-10-08,19500
2015-10-09,19350
2015-10-12,19500
2015-10-13,19450
2015-10-14,19800
2015-10-15,19700
2015-10-16,19700
2015-10-19,19650
2015-10-20,19650
2015-10-21,19750
2015-10-22,19650
2015-10-26,19650
2015-10-27,19600
2015-10-28,19650
2015-10-29,19650
2015-10-30,19400
2015-11-02,19250
2015-11-03,19150
2015-11-04,18900
2015-11-05,18750
2015-11-06,18750
2015-11-09,18600
2015-11-10,18650
2015-11-11,18600
2015-11-12,18500
2015-11-13,18450
2015-11-16,18600
2015-11-17,18500
2015-11-18,18300
2015-11-19,18400
2015-11-20,18400
2015-11-23,18250
2015-11-24,18250
2015-11-25,18300
2015-11-26,18200
2015-11-30,18000
2015-12-01,18200
2015-12-02,18150
2015-12-03,17950
2015-12-04,18050
2015-12-08,18200
2015-12-09,18350
2015-12-11,18250
2015-12-14,18400
2015-12-15,18250
2015-12-16,18150
2015-12-17,18250
2015-12-18,18150
2015-12-21,18300
2015-12-22,18450
2015-12-23,18350
2015-12-24,18350
2015-12-28,18350
2015-12-29,18350
2015-12-30,18350
2016-01-04,18200
2016-01-05,18100
2016-01-06,18450
2016-01-07,18900
2016-01-08,18900
2016-01-11,19000
2016-01-12,18850
2016-01-13,18650
2016-01-14,18800
2016-01-15,18600
2016-01-18,18800
2016-01-20,18750
2016-01-21,18900
2016-01-22,18850
2016-01-25,18750
2016-01-26,18900
2016-01-27,19000
2016-01-28,19000
2016-01-29,18900
2016-02-01,18950
2016-02-02,19000
2016-02-03,19100
2016-02-04,19250
2016-02-05,19450
2016-02-08,19600
2016-02-09,20050
2016-02-10,20000
2016-02-11,20100
2016-02-12,20650
2016-02-15,20700
2016-02-17,20300
2016-02-18,20350
2016-02-19,20700
2016-02-23,20600
2016-02-24,20750
2016-02-25,20850
2016-02-26,20900
2016-02-29,20750
2016-03-01,21000
2016-03-02,20750
2016-03-03,20850
2016-03-04,21050
2016-03-07,21150
2016-03-08,21300
2016-03-09,21050
2016-03-10,20950
2016-03-11,21300
2016-03-14,20900
2016-03-15,20500
2016-03-16,20500
2016-03-17,20700
2016-03-18,20850
2016-03-21,20750
2016-03-22,20600
2016-03-23,20600
2016-03-24,20400
2016-03-28,20300
2016-03-29,20450
2016-03-30,20700
2016-03-31,20500
2016-04-01,20500
2016-04-04,20300
2016-04-05,20500
2016-04-07,20500
2016-04-08,20600
2016-04-11,20750
2016-04-12,20800
2016-04-18,20550
2016-04-19,20450
2016-04-20,20700
2016-04-21,20700
2016-04-22,20750
2016-04-25,20550
2016-04-26,20650
2016-04-27,20700
2016-04-28,20700
2016-04-29,21050
2016-05-03,21350
2016-05-04,21300
2016-05-09,21400
2016-05-10,21100
2016-05-11,21200
2016-05-12,21250
2016-05-13,21200
2016-05-16,21400
2016-05-17,21400
2016-05-18,21500
2016-05-19,21300
2016-05-23,21200
2016-05-24,21150
2016-05-25,20850
2016-05-26,20800
2016-05-27,20550
2016-05-30,20450
2016-06-01,20600
2016-06-02,20550
2016-06-03,20450
2016-06-06,20800
2016-06-07,20800
2016-06-08,20800
2016-06-09,20950
2016-06-10,21150
2016-06-13,21250
2016-06-14,21350
2016-06-15,21500
2016-06-16,21650
2016-06-17,21450
2016-06-20,21450
2016-06-21,21500
2016-06-22,21200
2016-06-23,21100
2016-06-24,21400
2016-06-27,22200
2016-06-28,22100
2016-06-29,22050
2016-06-30,21950
2016-07-04,22400
2016-07-06,22750
2016-07-07,22800
2016-07-08,22600
2016-07-11,22800
2016-07-12,22600
2016-07-13,22250
2016-07-14,22350
2016-07-15,22100
2016-07-20,22100
2016-07-21,21850
2016-07-22,22000
2016-07-25,21850
2016-07-26,21900
2016-07-27,21900
2016-07-28,22100
2016-07-29,22100
2016-08-01,22250
2016-08-02,22250
2016-08-03,22450
2016-08-04,22450
2016-08-05,22500
2016-08-08,22200
2016-08-09,22100
2016-08-10,22200
2016-08-11,22150
2016-08-15,22100
2016-08-16,22050
2016-08-17,22100
2016-08-18,22200
2016-08-19,22100
2016-08-22,22000
2016-08-23,21950
2016-08-24,21950
2016-08-25,21800
2016-08-26,21700
2016-08-29,21650
2016-08-30,21700
2016-08-31,21600
2016-09-01,21550
2016-09-02,21550
2016-09-05,21750
2016-09-07,22100
2016-09-08,22100
2016-09-09,22050
2016-09-12,21950
2016-09-13,22000
2016-09-14,21900
2016-09-15,21900
2016-09-16,21750
2016-09-19,21750
2016-09-20,21750
2016-09-21,21700
2016-09-22,21900
2016-09-23,21900
2016-09-26,21950
2016-09-27,21900
2016-09-28,21750
2016-09-29,21750
2016-09-30,21750
2016-10-03,21650
2016-10-04,21550
2016-10-05,21000
2016-10-06,20950
2016-10-07,20800
2016-10-10,20900
2016-10-11,21000
2016-10-12,21050
2016-10-13,21250
2016-10-14,21050
2016-10-17,21050
2016-10-18,21000
2016-10-19,20950
2016-10-20,21050
2016-10-21,21050
2016-10-25,21000
2016-10-26,21100
2016-10-27,21050
2016-10-28,21150
2016-10-31,21150
2016-11-01,21150
2016-11-02,21400
2016-11-03,21500
2016-11-04,21550
2016-11-07,21450
2016-11-08,21300
2016-11-09,21550
2016-11-10,21400
2016-11-11,21100
2016-11-14,20500
2016-11-15,20600
2016-11-16,20650
2016-11-17,20600
2016-11-18,20400
2016-11-21,20450
2016-11-22,20500
2016-11-23,20450
2016-11-24,20100
2016-11-28,20150
2016-11-29,20100
2016-11-30,20150
2016-12-01,19800
2016-12-02,19900
2016-12-06,19850
2016-12-07,19800
2016-12-08,19900
2016-12-09,19750
2016-12-13,19650
2016-12-14,19600
2016-12-15,19400
2016-12-16,19250
2016-12-19,19350
2016-12-20,19400
2016-12-21,19400
2016-12-22,19350
2016-12-23,19350
2016-12-27,19400
2016-12-28,19500
2016-12-29,19600
2016-12-30,19700
2017-01-04,19750
2017-01-05,19900
2017-01-06,19950
2017-01-09,19950
2017-01-10,19950
2017-01-11,20050
2017-01-12,20050
2017-01-13,20050
2017-01-16,20150
2017-01-18,20300
2017-01-19,20200
2017-01-20,20200
2017-01-23,20300
2017-01-24,20300
2017-01-25,20250
2017-01-26,20050
2017-01-27,19900
2017-01-30,19950
2017-01-31,20000
2017-02-01,20050
2017-02-02,20050
2017-02-03,20100
2017-02-06,20200
2017-02-07,20350
2017-02-08,20400
2017-02-09,20450
2017-02-10,20250
2017-02-14,20300
2017-02-15,20300
2017-02-16,20350
2017-02-17,20400
2017-02-20,20400
2017-02-22,20400
2017-02-23,20400
2017-02-24,20550
2017-02-27,20650
2017-02-28,20600
2017-03-01,20700
2017-03-02,20650
2017-03-03,20500
2017-03-06,20500
2017-03-07,20400
2017-03-08,20300
2017-03-09,20250
2017-03-10,20100
2017-03-13,20150
2017-03-14,20150
2017-03-15,20100
2017-03-16,20350
2017-03-17,20350
2017-03-20,20300
2017-03-21,20250
2017-03-22,20500
2017-03-23,20450
2017-03-24,20450
2017-03-27,20500
