Date,Y_Date,Y
29-05-2014 00:00,29-05-2014,19500
30-05-2014 00:00,30-05-2014,19600
02-06-2014 00:00,02-06-2014,19450
03-06-2014 00:00,03-06-2014,19350
04-06-2014 00:00,04-06-2014,19300
05-06-2014 00:00,05-06-2014,19300
06-06-2014 00:00,06-06-2014,19400
09-06-2014 00:00,09-06-2014,19300
10-06-2014 00:00,10-06-2014,19300
11-06-2014 00:00,11-06-2014,19450
12-06-2014 00:00,12-06-2014,19450
13-06-2014 00:00,13-06-2014,19600
16-06-2014 00:00,16-06-2014,19650
17-06-2014 00:00,17-06-2014,19550
18-06-2014 00:00,18-06-2014,19600
19-06-2014 00:00,19-06-2014,19600
20-06-2014 00:00,20-06-2014,20150
23-06-2014 00:00,23-06-2014,20150
24-06-2014 00:00,24-06-2014,20250
25-06-2014 00:00,25-06-2014,20250
26-06-2014 00:00,26-06-2014,20250
27-06-2014 00:00,27-06-2014,20250
30-06-2014 00:00,30-06-2014,20250
02-07-2014 00:00,02-07-2014,20350
03-07-2014 00:00,03-07-2014,20350
07-07-2014 00:00,04-07-2014,20250
08-07-2014 00:00,08-07-2014,20250
09-07-2014 00:00,09-07-2014,20250
10-07-2014 00:00,10-07-2014,20300
14-07-2014 00:00,14-07-2014,20400
15-07-2014 00:00,15-07-2014,19950
16-07-2014 00:00,16-07-2014,19800
17-07-2014 00:00,17-07-2014,19850
18-07-2014 00:00,18-07-2014,20100
21-07-2014 00:00,21-07-2014,19950
22-07-2014 00:00,22-07-2014,19850
23-07-2014 00:00,23-07-2014,19750
24-07-2014 00:00,24-07-2014,19650
25-07-2014 00:00,25-07-2014,19550
28-07-2014 00:00,28-07-2014,19650
29-07-2014 00:00,29-07-2014,19700
30-07-2014 00:00,30-07-2014,19650
31-07-2014 00:00,31-07-2014,19650
01-08-2014 00:00,01-08-2014,19600
04-08-2014 00:00,04-08-2014,19700
05-08-2014 00:00,05-08-2014,19650
06-08-2014 00:00,06-08-2014,19700
07-08-2014 00:00,07-08-2014,19900
08-08-2014 00:00,08-08-2014,20100
13-08-2014 00:00,13-08-2014,19900
14-08-2014 00:00,14-08-2014,19850
15-08-2014 00:00,15-08-2014,19850
18-08-2014 00:00,18-08-2014,19650
19-08-2014 00:00,19-08-2014,19650
20-08-2014 00:00,20-08-2014,19600
21-08-2014 00:00,21-08-2014,19600
22-08-2014 00:00,22-08-2014,19400
25-08-2014 00:00,25-08-2014,19450
26-08-2014 00:00,26-08-2014,19350
27-08-2014 00:00,27-08-2014,19450
28-08-2014 00:00,28-08-2014,19450
29-08-2014 00:00,29-08-2014,19550
02-09-2014 00:00,01-09-2014,19500
03-09-2014 00:00,03-09-2014,19350
04-09-2014 00:00,04-09-2014,19350
05-09-2014 00:00,05-09-2014,19250
08-09-2014 00:00,08-09-2014,19250
09-09-2014 00:00,09-09-2014,19150
10-09-2014 00:00,10-09-2014,19150
11-09-2014 00:00,11-09-2014,19050
12-09-2014 00:00,12-09-2014,18850
15-09-2014 00:00,15-09-2014,18850
16-09-2014 00:00,16-09-2014,18950
17-09-2014 00:00,17-09-2014,18950
18-09-2014 00:00,18-09-2014,18800
19-09-2014 00:00,19-09-2014,18750
22-09-2014 00:00,22-09-2014,18550
23-09-2014 00:00,23-09-2014,18650
24-09-2014 00:00,24-09-2014,18700
25-09-2014 00:00,25-09-2014,18600
26-09-2014 00:00,26-09-2014,18750
