Date,Y_Date,Y,XAU_USD,Set,Oil,TenbondTHB,NYSE
2014-05-29 00:00:00,28-12-2023,33800,1258.79,1404.92,103.06,3.66,10716.5
2014-05-30 00:00:00,27-12-2023,33750,1256,1412.51,103.51,3.68,10734.5
2014-06-02 00:00:00,26-12-2023,33800,1250.89,1424.81,102.92,3.73,10760.5
2014-06-03 00:00:00,19-12-2023,33550,1244.39,1455.33,102.44,3.71,10752.4
2014-06-04 00:00:00,14-12-2023,33800,1245.24,1456.06,102.79,3.68,10752.4
2014-06-05 00:00:00,13-12-2023,33550,1243.8,1454.11,102.37,3.68,10788.5
2014-06-06 00:00:00,12-12-2023,33500,1253.69,1461.8,102.44,3.655,10865.2
2014-06-09 00:00:00,07-12-2023,33800,1253.79,1464.71,102.78,3.65,10895.4
2014-06-10 00:00:00,06-12-2023,33700,1252.15,1454.4,104.46,3.67,10906.9
2014-06-11 00:00:00,30-11-2023,33750,1260.49,1470.04,104.3,3.7,10886.3
2014-06-12 00:00:00,29-11-2023,33550,1261.49,1461.3,104.47,3.68,10870.7
2014-06-13 00:00:00,28-11-2023,33350,1273.69,1456.6,106.84,3.68,10836.7
2014-06-16 00:00:00,27-11-2023,33550,1277.06,1460.29,106.88,3.73,10855.3
2014-06-17 00:00:00,22-11-2023,33300,1271.65,1475.87,106.59,3.69,10849.6
2014-06-18 00:00:00,21-11-2023,33050,1271.3,1471.86,106.6,3.74,10890.1
2014-06-19 00:00:00,20-11-2023,32950,1278.44,1455.89,106.11,3.7,10992
2014-06-20 00:00:00,16-11-2023,33100,1320.2,1464.86,106.6,3.71,11014
2014-06-23 00:00:00,15-11-2023,33050,1313.7,1471.91,107.42,3.77,11017
2014-06-24 00:00:00,14-11-2023,33200,1318.54,1466.69,106.02,3.76,10997.4
2014-06-25 00:00:00,09-11-2023,32800,1318.74,1462.55,106.14,3.74,10902.7
2014-06-26 00:00:00,08-11-2023,33100,1318.65,1472.5,106.71,3.755,10951.8
2014-06-27 00:00:00,07-11-2023,33300,1317.91,1480.75,105.64,3.74,10934.8
2014-06-30 00:00:00,06-11-2023,33500,1315.8,1488.92,105.69,3.71,10969.2
2014-07-02 00:00:00,02-11-2023,33850,1325.58,1492.05,105.21,3.73,11044.7
2014-07-03 00:00:00,01-11-2023,34000,1327.7,1492.87,104.27,3.74,11070.4
2014-07-07 00:00:00,31-10-2023,34000,1320.16,1500.87,104.06,3.75,11072
2014-07-08 00:00:00,30-10-2023,34150,1319.75,1506.01,103.39,3.74,11008.8
2014-07-09 00:00:00,26-10-2023,34100,1319.69,1505.6,103.45,3.71,10977.9
2014-07-10 00:00:00,25-10-2023,33750,1319.34,1513.25,101.95,3.69,10941.8
2014-07-14 00:00:00,24-10-2023,33900,1338.45,1524.98,100.46,3.68,10980.2
2014-07-15 00:00:00,19-10-2023,33600,1306.85,1533.29,100.93,3.67,10995.7
2014-07-16 00:00:00,18-10-2023,33250,1294.4,1527.13,100.21,3.63,11006.4
2014-07-17 00:00:00,17-10-2023,32950,1300.24,1529.11,101.49,3.59,10982.7
2014-07-18 00:00:00,16-10-2023,32950,1318.7,1532.52,103.72,3.56,10908.4
2014-07-21 00:00:00,12-10-2023,32300,1311.05,1536.73,102.97,3.59,10951.2
2014-07-22 00:00:00,11-10-2023,32250,1311.89,1543.56,104.58,3.52,10988.9
2014-07-23 00:00:00,10-10-2023,32550,1307.7,1527.35,101.96,3.5,11027.4
