Y,BVN,JPY_THB,NYSE,Oil,Thai_Ten,USD_THB
33700.00,15.04,0.24,16890.60,71.99,3.84,34.27
33650.00,15.22,0.24,16898.30,73.80,3.80,34.35
33700.00,15.19,0.24,16859.50,75.32,3.90,34.56
33600.00,15.15,0.24,16770.40,73.56,3.90,34.61
33550.00,15.05,0.24,16724.90,73.49,3.91,34.60
33550.00,14.75,0.24,16534.70,73.91,3.89,34.80
33600.00,13.86,0.24,16798.40,73.81,3.86,34.99
33550.00,13.10,0.24,16656.80,74.06,3.92,34.84
29700.00,12.30,0.24,16609.80,72.48,3.93,34.98
29750.00,10.13,0.24,16723.90,71.68,3.93,34.89
29750.00,9.71,0.24,16560.70,71.61,3.93,34.88
29900.00,9.13,0.25,16285.90,69.85,4.02,35.34
29750.00,9.32,0.25,16274.40,68.73,4.20,35.70
33450.00,9.35,0.25,16207.80,71.43,4.24,35.75
33350.00,9.18,0.25,16136.80,71.15,4.24,35.54
33300.00,9.36,0.25,16092.40,69.76,4.15,35.14
33500.00,9.36,0.24,16123.00,69.28,4.11,35.16
33700.00,9.29,0.24,16232.80,72.10,4.17,35.24
33450.00,9.41,0.24,16263.80,73.30,4.26,35.25
33400.00,9.51,0.24,16088.80,74.58,4.22,34.91
33700.00,9.60,0.24,15963.00,75.59,4.32,35.29
33650.00,9.50,0.24,15929.20,77.75,4.27,34.83
33750.00,9.38,0.24,15930.90,76.56,4.32,34.77
33700.00,9.29,0.24,15983.80,75.07,4.40,35.07
33600.00,9.20,0.24,15907.90,75.31,4.49,35.40
33900.00,9.09,0.24,15861.60,76.79,4.45,35.25
34200.00,8.91,0.24,15881.60,76.69,4.41,35.25
34000.00,8.71,0.24,15813.50,77.77,4.39,35.18
33900.00,8.88,0.24,15716.50,77.65,4.41,35.21
33650.00,8.67,0.24,15765.00,75.65,4.46,35.11
33450.00,8.70,0.24,15732.70,72.97,4.44,35.21
33250.00,8.59,0.24,15403.10,76.60,4.52,35.59
33450.00,8.87,0.24,15388.40,78.17,4.45,35.53
33350.00,8.62,0.24,15235.20,78.53,4.64,35.98
33250.00,8.53,0.24,15352.20,77.15,4.65,35.97
33150.00,8.48,0.23,15388.50,75.59,4.64,35.74
33200.00,8.47,0.23,15440.50,75.65,4.48,35.53
32950.00,8.44,0.23,15475.20,77.12,4.58,35.58
32850.00,8.31,0.24,15332.60,80.93,4.64,35.52
32900.00,8.18,0.24,15002.50,81.13,4.59,35.51
32950.00,8.19,0.24,14919.20,82.58,4.66,35.99
33000.00,8.13,0.24,14825.90,80.82,4.72,36.19
32950.00,8.48,0.24,14675.80,81.48,4.93,36.12
33100.00,8.44,0.24,14858.70,82.59,4.89,35.90
32950.00,8.61,0.24,14914.10,85.00,4.88,36.16
33000.00,8.68,0.24,15025.80,83.53,4.85,36.28
33050.00,8.51,0.24,14946.00,85.37,4.95,36.23
32700.00,8.50,0.24,15033.30,83.69,4.82,36.20
33000.00,8.43,0.24,15196.40,86.15,4.86,36.31
33200.00,8.37,0.24,15325.00,88.00,4.96,36.49
33400.00,8.47,0.24,15541.40,90.28,4.99,36.42
33450.00,8.48,0.24,15484.50,88.24,4.94,36.38
33650.00,8.39,0.24,15323.70,87.81,4.84,36.34
33750.00,8.41,0.24,15329.50,87.06,4.71,36.25
33900.00,8.34,0.24,15487.80,87.72,4.65,36.25
33900.00,8.28,0.24,15450.20,83.51,4.70,36.40
34050.00,8.30,0.24,15318.10,83.20,4.56,36.41
34100.00,8.23,0.24,15214.00,85.96,4.66,36.62
33950.00,8.00,0.24,15072.90,86.43,4.63,36.97
34000.00,7.95,0.24,15070.90,85.25,4.73,37.01
33650.00,8.13,0.24,15049.60,82.28,4.75,36.97
33800.00,8.23,0.24,15230.00,84.45,4.73,36.91
34000.00,8.49,0.24,15398.20,89.42,4.73,37.08
34100.00,8.59,0.24,15478.10,88.67,4.80,36.95
33950.00,8.45,0.24,15394.70,90.82,4.68,36.55
33500.00,8.44,0.24,15381.60,91.76,4.61,36.56
33150.00,8.51,0.24,15593.70,93.78,4.58,36.67
32850.00,8.50,0.24,15569.50,90.53,4.61,36.40
32850.00,8.51,0.24,15601.60,89.88,4.53,36.19
32900.00,8.25,0.25,15859.60,90.55,4.55,35.99
32250.00,8.29,0.25,15929.00,89.62,4.44,36.16
32200.00,8.74,0.25,15952.50,89.30,4.49,36.14
32150.00,8.63,0.25,15973.70,91.55,4.41,36.02
32450.00,8.71,0.25,16089.50,92.22,4.37,35.69
32350.00,8.51,0.25,15926.60,91.20,4.31,35.71
31950.00,8.47,0.25,15953.90,90.67,4.31,35.79
31850.00,8.36,0.25,15949.40,88.81,4.29,35.72
31850.00,8.44,0.24,15879.00,88.75,4.25,35.60
32000.00,8.29,0.24,15864.20,87.27,4.29,35.50
31900.00,8.37,0.25,15891.50,87.40,4.30,35.64
32050.00,8.34,0.25,15942.50,86.78,4.29,35.65
32050.00,8.41,0.24,16091.80,87.54,4.25,35.54
32250.00,8.64,0.24,16000.40,86.72,4.29,35.47
32500.00,8.65,0.24,16074.20,86.06,4.25,35.25
32750.00,8.71,0.24,16041.50,85.85,4.21,35.10
32800.00,8.40,0.24,15879.60,86.06,4.19,35.01
32700.00,8.19,0.24,15766.90,83.63,4.19,35.05
32750.00,8.14,0.24,15683.00,81.70,4.11,35.02
32850.00,8.05,0.24,15823.30,81.29,4.11,35.22
32850.00,8.02,0.24,15690.30,79.98,4.14,35.16
32850.00,7.85,0.24,15746.20,80.15,4.19,34.99
32500.00,7.67,0.24,15750.20,78.88,4.25,34.98
32400.00,7.64,0.24,15734.40,78.57,4.23,35.04
32400.00,7.83,0.24,15818.10,79.64,4.19,35.22
32250.00,7.74,0.24,15911.30,80.80,4.32,35.38
32200.00,7.90,0.24,16116.00,81.43,4.35,35.48
32200.00,8.02,0.24,16143.40,80.04,4.26,35.45
32250.00,7.90,0.24,16135.20,79.25,4.27,35.38
32200.00,7.92,0.24,16135.80,81.23,4.25,35.24
32250.00,7.81,0.24,16176.30,82.52,4.21,35.10
32300.00,7.77,0.24,16208.20,83.09,4.20,35.13
32200.00,7.81,0.24,16071.10,82.83,4.17,35.05
32250.00,7.81,0.24,16125.40,84.25,4.12,35.03
32250.00,7.65,0.24,16174.50,82.88,4.01,34.84
32150.00,7.71,0.24,16356.50,82.53,4.01,34.69
32100.00,7.64,0.24,16427.30,82.82,4.09,34.62
32050.00,7.59,0.24,16363.30,81.73,4.05,34.49
32050.00,7.60,0.24,16270.60,79.77,4.18,34.35
32000.00,7.68,0.24,16418.20,82.05,4.09,34.22
31900.00,7.82,0.24,16385.20,81.73,4.01,34.26
31800.00,7.55,0.24,16369.10,80.65,3.97,34.48
31750.00,7.42,0.24,16289.10,79.84,3.96,34.20
31700.00,7.30,0.24,16263.70,78.90,4.01,34.49
31650.00,7.73,0.24,16230.90,79.34,3.88,34.53
31400.00,7.84,0.24,16156.50,78.85,3.90,34.43
31450.00,7.95,0.24,16054.20,77.01,3.88,34.20
31500.00,7.70,0.24,16040.20,75.70,3.85,34.04
31650.00,8.02,0.24,16106.80,75.35,3.85,34.07
31700.00,7.92,0.24,16011.30,75.84,3.75,34.61
31800.00,7.70,0.24,15897.30,74.18,3.79,34.65
31850.00,7.65,0.24,15748.90,75.02,3.81,34.52
31750.00,7.46,0.24,15671.60,77.16,3.82,34.67
31750.00,7.32,0.24,15641.70,75.85,3.78,34.78
31750.00,7.35,0.24,15835.50,74.83,3.86,35.11
31800.00,7.47,0.24,15918.50,73.19,3.96,35.16
31800.00,7.39,0.24,15875.90,73.86,4.00,35.19
31850.00,7.15,0.24,15737.40,71.89,4.06,34.99
31850.00,7.13,0.24,15617.40,71.80,4.03,34.90
31750.00,7.14,0.24,15646.70,70.15,3.94,35.03
31750.00,7.52,0.24,15518.70,70.08,3.84,35.31
31700.00,7.52,0.24,15469.30,70.45,3.85,35.64
31600.00,7.56,0.24,15600.70,69.82,3.85,35.57
31600.00,7.35,0.24,15657.00,69.25,3.84,35.24
31750.00,7.50,0.25,15648.90,68.01,3.71,35.19
31700.00,7.44,0.24,15795.10,69.49,3.76,35.24
31700.00,7.40,0.24,15826.30,69.84,3.72,35.13
31750.00,7.28,0.24,15642.70,69.53,3.72,34.81
31900.00,7.28,0.24,15667.80,72.43,3.79,34.84
31950.00,7.13,0.24,15548.50,70.90,3.73,34.76
31950.00,7.00,0.24,15499.90,71.45,3.73,34.69
31900.00,7.55,0.24,15502.60,71.47,3.82,34.61
31900.00,7.38,0.24,15469.60,71.59,3.76,34.69
31850.00,6.96,0.25,15391.80,70.55,3.72,34.64
31750.00,6.87,0.25,15275.20,68.70,3.79,34.64
31850.00,6.83,0.25,15345.20,69.35,3.82,34.60
31850.00,7.04,0.25,15031.10,67.31,3.74,34.63
31950.00,6.88,0.25,14887.10,70.27,3.75,34.82
31950.00,6.59,0.25,14994.60,70.94,3.72,34.79
32050.00,6.61,0.25,15078.70,72.47,3.79,34.80
31950.00,6.72,0.25,14976.00,71.56,3.67,34.77
31800.00,6.93,0.25,15022.90,71.99,3.69,34.58
31850.00,7.15,0.24,15172.30,75.03,3.71,34.72
31950.00,7.05,0.24,15318.80,70.21,3.61,34.71
31900.00,7.01,0.24,15324.30,67.60,3.64,34.72
31800.00,6.99,0.24,15345.40,69.62,3.69,34.76
31750.00,7.00,0.24,15313.90,73.23,3.77,34.71
31800.00,7.01,0.24,15129.30,73.22,3.82,34.65
31850.00,7.00,0.25,15322.60,73.11,3.82,34.61
31850.00,7.08,0.25,15246.40,71.89,3.82,34.47
31950.00,7.00,0.25,15263.10,74.21,3.74,34.37
32050.00,7.02,0.25,15349.20,73.77,3.70,34.42
32050.00,7.19,0.25,15352.80,72.10,3.72,34.27
32000.00,7.10,0.25,15391.30,71.70,3.67,34.06
32050.00,7.24,0.25,15380.90,71.94,3.65,33.79
32000.00,7.15,0.25,15117.70,72.75,3.56,33.93
31950.00,7.28,0.25,15233.80,70.60,3.55,33.85
31800.00,7.23,0.25,15314.60,71.32,3.51,33.65
31800.00,6.95,0.24,15535.90,70.04,3.46,33.72
31900.00,7.21,0.24,15545.90,71.42,3.38,33.87
32000.00,7.29,0.25,15431.60,72.77,3.44,33.90
32050.00,7.34,0.25,15228.60,73.58,3.52,33.79
32100.00,7.56,0.25,15363.50,72.84,3.52,33.93
32000.00,7.51,0.25,15606.70,71.35,3.45,34.12
31850.00,7.51,0.25,15578.90,68.70,3.39,34.23
31850.00,7.77,0.25,15582.90,68.16,3.40,34.13
32000.00,7.87,0.25,15653.60,71.56,3.43,34.15
32050.00,7.75,0.25,15685.00,75.76,3.57,34.15
32050.00,7.93,0.25,15668.30,76.66,3.45,34.40
32100.00,8.24,0.25,15601.80,74.91,3.52,34.36
32100.00,8.22,0.25,15630.90,74.38,3.44,34.39
32200.00,8.29,0.25,15500.90,77.08,3.42,34.33
32150.00,8.37,0.25,15520.90,78.74,3.48,34.44
32050.00,8.19,0.25,15427.20,77.97,3.57,34.28
32100.00,8.08,0.25,15379.10,77.13,3.53,34.50
32250.00,8.37,0.25,15368.30,78.87,3.59,34.29
32150.00,8.46,0.25,15374.10,80.92,3.59,34.00
32050.00,8.29,0.25,15487.80,81.00,3.60,34.13
31850.00,8.21,0.25,15374.90,82.48,3.53,34.28
32000.00,8.14,0.25,15200.60,82.40,3.45,34.38
32000.00,8.20,0.25,15124.00,83.22,3.39,34.16
31900.00,8.20,0.25,14949.30,81.44,3.43,34.09
32100.00,8.17,0.25,14894.80,79.88,3.42,33.94
32200.00,8.04,0.25,14758.60,80.50,3.37,34.04
32050.00,8.15,0.25,14693.00,80.37,3.31,34.22
32100.00,8.27,0.25,14741.10,81.01,3.31,34.16
32100.00,8.11,0.25,14986.00,80.44,3.35,34.13
31900.00,8.30,0.25,14777.70,80.10,3.42,34.18
32050.00,8.41,0.25,14599.00,74.37,3.52,34.26
32150.00,8.13,0.25,14831.00,72.98,3.55,34.43
32250.00,8.16,0.25,14662.50,73.61,3.57,34.22
32200.00,8.37,0.25,14944.70,72.86,3.57,33.99
32300.00,8.05,0.25,14764.40,69.42,3.53,34.28
32250.00,8.15,0.25,14894.20,69.51,3.40,34.43
32300.00,8.01,0.25,15140.80,69.95,3.42,34.08
32300.00,8.05,0.25,15440.60,69.48,3.45,34.09
32250.00,8.04,0.25,15439.00,67.62,3.61,34.45
32350.00,8.29,0.25,15694.30,66.62,3.50,34.64
32250.00,8.51,0.25,15721.10,68.26,3.47,34.58
32550.00,8.63,0.25,15524.50,68.22,3.57,34.52
32550.00,8.29,0.25,15436.30,71.56,3.45,34.76
32350.00,7.75,0.25,15429.00,74.70,3.70,34.98
32050.00,7.40,0.26,15492.90,76.60,3.56,35.05
32050.00,7.42,0.26,15464.50,75.65,3.75,35.10
32100.00,7.30,0.26,15584.90,76.50,3.90,34.47
32050.00,7.46,0.26,15530.80,77.32,3.98,34.54
32150.00,7.70,0.26,15572.50,80.50,3.98,34.82
32350.00,7.45,0.26,15840.20,79.92,3.97,34.71
32350.00,7.24,0.26,15873.80,77.89,3.97,35.23
32300.00,7.24,0.26,16016.10,77.74,4.07,35.01
32300.00,7.21,0.26,16025.10,76.85,3.99,34.96
32450.00,7.34,0.26,16052.30,75.76,3.94,34.69
32350.00,7.41,0.26,15910.70,76.42,3.92,34.62
32500.00,7.47,0.26,15828.60,75.60,3.93,34.60
32500.00,7.71,0.26,15934.70,73.92,3.89,34.39
32500.00,7.75,0.26,16021.60,76.11,3.92,34.46
32450.00,7.60,0.26,15895.40,76.53,3.96,34.37
32750.00,7.64,0.26,15999.40,76.69,3.85,34.27
32450.00,7.70,0.26,16122.60,76.69,3.85,33.89
32500.00,8.37,0.26,16121.30,78.07,3.86,33.81
32350.00,8.13,0.26,16036.40,78.54,3.82,33.71
32300.00,8.03,0.26,15818.90,78.83,3.75,33.59
32350.00,7.91,0.26,15962.60,79.06,3.71,33.51
32300.00,8.25,0.26,15985.90,79.94,3.74,33.54
